instance=temp_instance.txt
agents=240
map_file=warehouse-20-40-10-2-2.map
solver=PIBTOLD
solved=1
soc=48300
lb_soc=43442
makespan=436
lb_makespan=436
comp_time=153
preprocessing_comp_time=140
starts=(61,17),(27,79),(175,138),(184,30),(233,110),(120,38),(57,54),(264,154),(261,153),(20,11),(137,26),(166,34),(98,90),(211,125),(18,146),(255,158),(68,142),(10,17),(174,57),(296,26),(155,21),(163,46),(333,90),(16,41),(110,7),(307,14),(4,100),(305,82),(170,75),(50,9),(31,2),(109,60),(247,74),(329,120),(176,38),(138,53),(101,18),(13,66),(37,16),(234,149),(153,74),(3,152),(18,21),(318,141),(159,57),(134,66),(121,25),(176,34),(249,86),(62,44),(220,34),(8,107),(331,121),(241,90),(333,92),(1,24),(98,3),(203,6),(42,94),(296,40),(6,38),(283,113),(144,109),(306,12),(114,45),(38,24),(93,122),(139,101),(2,91),(327,127),(10,89),(52,25),(322,100),(121,107),(118,41),(227,94),(164,161),(147,114),(296,81),(110,143),(319,8),(297,102),(142,141),(311,120),(217,102),(196,18),(152,145),(103,154),(63,122),(322,3),(17,131),(48,87),(54,5),(134,125),(327,32),(44,83),(72,90),(36,18),(322,83),(192,1),(193,129),(300,30),(192,45),(240,114),(254,10),(290,161),(40,40),(9,61),(98,52),(336,113),(313,83),(124,81),(5,104),(157,78),(49,73),(217,37),(169,60),(250,141),(67,94),(130,161),(296,31),(218,75),(244,65),(44,46),(41,21),(169,134),(291,145),(80,161),(324,147),(236,69),(2,53),(169,147),(18,111),(192,133),(66,122),(324,12),(39,159),(2,136),(307,72),(308,105),(121,21),(291,82),(20,9),(217,96),(130,5),(96,125),(2,110),(29,7),(2,83),(326,41),(10,69),(296,135),(55,142),(16,92),(311,93),(126,133),(78,6),(277,119),(61,29),(22,55),(12,138),(62,156),(105,78),(49,157),(239,54),(291,144),(35,30),(330,34),(226,142),(335,114),(320,94),(170,6),(139,98),(106,97),(121,46),(93,37),(35,61),(82,13),(204,149),(163,142),(87,41),(326,33),(257,157),(251,89),(318,32),(307,125),(26,107),(251,105),(75,77),(231,134),(53,62),(11,24),(241,122),(298,76),(277,126),(16,47),(73,126),(305,139),(326,9),(242,25),(252,82),(332,54),(208,37),(157,98),(156,146),(137,33),(21,49),(35,161),(21,142),(26,47),(88,9),(260,22),(102,57),(278,33),(312,132),(253,93),(299,91),(232,62),(85,68),(227,142),(95,5),(290,4),(334,48),(58,25),(224,58),(97,120),(154,74),(18,100),(286,29),(242,64),(136,33),(293,23),(144,153),(75,53),(322,66),(230,143),(241,113),(92,77),(78,161),(317,19),
goals=(218,23),(195,46),(147,118),(31,83),(310,136),(16,145),(95,62),(28,73),(336,12),(304,153),(135,118),(181,128),(68,126),(270,13),(291,114),(93,2),(219,54),(86,14),(178,69),(284,45),(135,13),(191,29),(229,158),(283,98),(158,138),(136,113),(321,65),(315,129),(137,154),(100,9),(317,94),(179,94),(145,153),(107,46),(34,10),(139,126),(286,98),(329,89),(2,117),(229,57),(297,94),(298,11),(124,106),(14,106),(279,81),(17,30),(332,127),(291,112),(30,45),(57,146),(287,50),(241,126),(194,99),(40,64),(203,26),(254,136),(1,136),(92,78),(301,97),(332,97),(122,124),(183,69),(132,30),(299,141),(104,82),(154,122),(15,20),(99,46),(61,133),(95,69),(41,156),(320,30),(316,57),(280,109),(293,51),(305,64),(9,19),(122,21),(103,82),(147,157),(318,141),(336,144),(299,84),(35,81),(315,8),(298,43),(311,17),(50,41),(14,103),(37,37),(146,112),(322,101),(108,41),(325,101),(133,36),(30,89),(296,64),(48,60),(171,105),(75,142),(231,77),(24,63),(29,74),(285,161),(34,143),(316,6),(18,43),(249,146),(278,87),(12,52),(329,93),(3,133),(109,71),(291,63),(28,125),(318,132),(271,10),(219,66),(8,46),(216,29),(249,18),(20,144),(42,4),(170,27),(169,35),(334,3),(158,148),(324,124),(302,69),(243,109),(34,70),(243,154),(89,77),(184,5),(62,51),(215,133),(41,89),(146,150),(133,104),(301,124),(94,141),(110,24),(316,119),(230,10),(195,125),(267,157),(292,70),(195,113),(241,70),(304,127),(292,101),(326,146),(244,117),(273,110),(296,101),(17,96),(85,136),(135,10),(323,85),(123,117),(218,123),(327,8),(252,133),(22,150),(220,101),(242,125),(110,53),(171,149),(86,147),(66,22),(97,37),(314,128),(2,8),(59,154),(99,74),(36,93),(37,78),(52,113),(328,30),(36,116),(86,67),(254,117),(2,138),(285,138),(84,78),(134,3),(274,145),(276,46),(189,57),(335,148),(319,106),(194,67),(145,46),(114,142),(291,125),(181,48),(298,151),(1,14),(9,9),(135,117),(57,142),(26,15),(7,42),(135,137),(165,94),(145,158),(179,14),(306,31),(17,63),(278,8),(179,18),(239,49),(149,6),(3,91),(298,63),(12,128),(18,16),(52,85),(35,98),(307,84),(310,55),(97,158),(191,149),(243,10),(254,90),(313,84),(34,33),(259,10),(11,127),(253,67),(73,14),(33,51),(76,117),(60,53),(30,137),(230,7),(97,62),(27,73),(7,94),(308,34),
solution=
0:(61,17),(27,79),(175,138),(184,30),(233,110),(120,38),(57,54),(264,154),(261,153),(20,11),(137,26),(166,34),(98,90),(211,125),(18,146),(255,158),(68,142),(10,17),(174,57),(296,26),(155,21),(163,46),(333,90),(16,41),(110,7),(307,14),(4,100),(305,82),(170,75),(50,9),(31,2),(109,60),(247,74),(329,120),(176,38),(138,53),(101,18),(13,66),(37,16),(234,149),(153,74),(3,152),(18,21),(318,141),(159,57),(134,66),(121,25),(176,34),(249,86),(62,44),(220,34),(8,107),(331,121),(241,90),(333,92),(1,24),(98,3),(203,6),(42,94),(296,40),(6,38),(283,113),(144,109),(306,12),(114,45),(38,24),(93,122),(139,101),(2,91),(327,127),(10,89),(52,25),(322,100),(121,107),(118,41),(227,94),(164,161),(147,114),(296,81),(110,143),(319,8),(297,102),(142,141),(311,120),(217,102),(196,18),(152,145),(103,154),(63,122),(322,3),(17,131),(48,87),(54,5),(134,125),(327,32),(44,83),(72,90),(36,18),(322,83),(192,1),(193,129),(300,30),(192,45),(240,114),(254,10),(290,161),(40,40),(9,61),(98,52),(336,113),(313,83),(124,81),(5,104),(157,78),(49,73),(217,37),(169,60),(250,141),(67,94),(130,161),(296,31),(218,75),(244,65),(44,46),(41,21),(169,134),(291,145),(80,161),(324,147),(236,69),(2,53),(169,147),(18,111),(192,133),(66,122),(324,12),(39,159),(2,136),(307,72),(308,105),(121,21),(291,82),(20,9),(217,96),(130,5),(96,125),(2,110),(29,7),(2,83),(326,41),(10,69),(296,135),(55,142),(16,92),(311,93),(126,133),(78,6),(277,119),(61,29),(22,55),(12,138),(62,156),(105,78),(49,157),(239,54),(291,144),(35,30),(330,34),(226,142),(335,114),(320,94),(170,6),(139,98),(106,97),(121,46),(93,37),(35,61),(82,13),(204,149),(163,142),(87,41),(326,33),(257,157),(251,89),(318,32),(307,125),(26,107),(251,105),(75,77),(231,134),(53,62),(11,24),(241,122),(298,76),(277,126),(16,47),(73,126),(305,139),(326,9),(242,25),(252,82),(332,54),(208,37),(157,98),(156,146),(137,33),(21,49),(35,161),(21,142),(26,47),(88,9),(260,22),(102,57),(278,33),(312,132),(253,93),(299,91),(232,62),(85,68),(227,142),(95,5),(290,4),(334,48),(58,25),(224,58),(97,120),(154,74),(18,100),(286,29),(242,64),(136,33),(293,23),(144,153),(75,53),(322,66),(230,143),(241,113),(92,77),(78,161),(317,19),
1:(61,18),(27,78),(175,137),(183,30),(234,110),(119,38),(58,54),(264,153),(262,153),(20,12),(136,26),(167,34),(97,90),(212,125),(19,146),(255,157),(69,142),(10,16),(174,58),(296,27),(154,21),(164,46),(332,90),(17,41),(110,8),(306,14),(4,99),(306,82),(170,76),(51,9),(31,3),(110,60),(246,74),(329,119),(176,37),(137,53),(102,18),(14,66),(37,17),(233,149),(154,74),(3,151),(18,22),(318,140),(160,57),(134,65),(121,26),(177,34),(248,86),(61,44),(221,34),(8,108),(330,121),(240,90),(333,91),(2,24),(98,4),(202,6),(42,95),(297,40),(6,39),(282,113),(143,109),(306,13),(113,45),(38,25),(93,121),(138,101),(3,91),(327,126),(10,90),(52,26),(321,100),(122,107),(119,41),(228,94),(163,161),(147,113),(295,81),(110,144),(319,9),(297,103),(143,141),(310,120),(217,101),(197,18),(153,145),(102,154),(62,122),(322,4),(18,131),(49,87),(54,6),(134,124),(327,33),(43,83),(72,89),(36,19),(322,84),(192,2),(193,128),(299,30),(191,45),(241,114),(253,10),(290,160),(39,40),(10,61),(98,53),(336,112),(314,83),(124,82),(5,103),(157,77),(48,73),(217,38),(169,59),(249,141),(66,94),(131,161),(296,30),(217,75),(243,65),(44,45),(42,21),(169,133),(290,145),(81,161),(323,147),(237,69),(3,53),(170,147),(18,110),(193,133),(66,121),(323,12),(39,158),(3,136),(307,73),(307,105),(120,21),(291,81),(20,10),(217,95),(130,6),(96,126),(3,110),(29,8),(2,82),(326,42),(11,69),(296,136),(55,141),(16,93),(310,93),(125,133),(79,6),(277,118),(62,29),(23,55),(12,137),(62,155),(106,78),(48,157),(238,54),(291,143),(36,30),(329,34),(225,142),(334,114),(320,93),(171,6),(138,98),(105,97),(120,46),(93,38),(36,61),(81,13),(205,149),(162,142),(86,41),(325,33),(256,157),(251,90),(318,33),(306,125),(27,107),(252,105),(76,77),(232,134),(54,62),(12,24),(240,122),(297,76),(277,125),(16,48),(73,127),(305,138),(325,9),(241,25),(251,82),(332,53),(207,37),(157,99),(157,146),(138,33),(21,48),(36,161),(21,141),(27,47),(89,9),(259,22),(103,57),(277,33),(311,132),(252,93),(298,91),(231,62),(85,69),(228,142),(95,6),(290,5),(334,49),(59,25),(225,58),(97,119),(154,73),(18,99),(285,29),(242,65),(135,33),(292,23),(143,153),(74,53),(322,67),(230,142),(241,112),(91,77),(77,161),(316,19),
2:(62,18),(27,77),(174,137),(182,30),(235,110),(118,38),(59,54),(263,153),(262,153),(20,13),(135,26),(168,34),(97,91),(213,125),(20,146),(254,157),(69,141),(10,15),(175,58),(295,27),(153,21),(165,46),(332,91),(17,42),(110,9),(306,15),(4,98),(306,83),(170,77),(52,9),(32,3),(110,61),(245,74),(328,119),(175,37),(136,53),(103,18),(15,66),(36,17),(232,149),(155,74),(4,151),(18,23),(317,140),(161,57),(134,64),(121,27),(178,34),(248,85),(61,45),(222,34),(9,108),(329,121),(239,90),(333,90),(3,24),(97,4),(201,6),(43,95),(298,40),(7,39),(281,113),(142,109),(305,13),(113,46),(39,25),(92,121),(137,101),(3,92),(327,125),(11,90),(53,26),(321,99),(122,108),(119,42),(229,94),(162,161),(146,113),(294,81),(110,145),(319,10),(298,103),(144,141),(310,119),(217,100),(198,18),(154,145),(102,153),(62,121),(322,5),(19,131),(49,88),(55,6),(134,123),(326,33),(43,84),(73,89),(37,19),(322,85),(191,2),(194,128),(298,30),(191,46),(242,114),(252,10),(290,159),(38,40),(11,61),(98,54),(336,111),(314,84),(123,82),(5,102),(158,77),(47,73),(217,39),(169,58),(248,141),(66,93),(132,161),(296,29),(217,76),(242,65),(45,45),(43,21),(169,132),(290,146),(82,161),(323,146),(238,69),(4,53),(170,148),(18,109),(193,132),(65,121),(323,13),(40,158),(4,136),(307,74),(306,105),(119,21),(291,80),(21,10),(217,94),(131,6),(97,126),(4,110),(30,8),(2,81),(326,43),(11,70),(297,136),(56,141),(17,93),(309,93),(124,133),(80,6),(277,117),(62,30),(23,56),(13,137),(62,154),(107,78),(47,157),(237,54),(291,142),(36,31),(329,35),(224,142),(334,113),(319,93),(172,6),(137,98),(104,97),(119,46),(92,38),(37,61),(81,14),(206,149),(161,142),(86,42),(324,33),(255,157),(252,90),(317,33),(305,125),(27,108),(253,105),(77,77),(233,134),(55,62),(12,25),(240,121),(297,77),(278,125),(17,48),(74,127),(305,137),(324,9),(241,26),(250,82),(332,52),(206,37),(157,100),(158,146),(139,33),(21,47),(37,161),(20,141),(28,47),(89,10),(258,22),(104,57),(277,34),(311,131),(252,94),(298,90),(230,62),(85,70),(228,141),(96,6),(290,6),(334,50),(60,25),(226,58),(98,119),(153,73),(18,98),(285,30),(242,66),(134,33),(291,23),(142,153),(73,53),(321,67),(230,141),(241,111),(90,77),(76,161),(316,20),
3:(63,18),(27,76),(173,137),(182,31),(236,110),(117,38),(60,54),(262,153),(261,153),(20,14),(134,26),(169,34),(97,92),(214,125),(21,146),(254,156),(70,141),(11,15),(176,58),(294,27),(152,21),(166,46),(332,92),(18,42),(111,9),(306,16),(5,98),(306,84),(170,78),(53,9),(33,3),(111,61),(244,74),(328,118),(174,37),(136,54),(104,18),(16,66),(36,18),(231,149),(156,74),(4,150),(19,23),(317,139),(162,57),(134,63),(121,28),(179,34),(247,85),(61,46),(223,34),(10,108),(328,121),(239,89),(333,89),(3,25),(97,5),(200,6),(43,96),(299,40),(7,40),(280,113),(141,109),(304,13),(112,46),(39,26),(91,121),(136,101),(4,92),(326,125),(11,91),(54,26),(321,98),(122,109),(120,42),(229,93),(161,161),(145,113),(294,82),(111,145),(318,10),(299,103),(145,141),(309,119),(217,99),(199,18),(155,145),(101,153),(62,120),(321,5),(19,130),(50,88),(56,6),(134,122),(326,34),(42,84),(74,89),(37,20),(322,86),(190,2),(194,127),(297,30),(190,46),(243,114),(251,10),(291,159),(38,41),(12,61),(99,54),(335,111),(315,84),(122,82),(6,102),(158,76),(47,74),(218,39),(170,58),(247,141),(65,93),(133,161),(295,29),(217,77),(241,65),(46,45),(43,22),(170,132),(289,146),(83,161),(322,146),(238,70),(4,54),(170,149),(18,108),(193,131),(64,121),(322,13),(40,157),(4,137),(307,75),(306,106),(119,22),(290,80),(21,11),(218,94),(132,6),(97,127),(4,109),(30,9),(3,81),(325,43),(12,70),(297,137),(57,141),(18,93),(309,94),(123,133),(81,6),(276,117),(62,31),(23,57),(13,136),(62,153),(108,78),(47,156),(236,54),(290,142),(36,32),(329,36),(223,142),(334,112),(319,92),(173,6),(137,97),(103,97),(118,46),(91,38),(37,62),(80,14),(207,149),(161,141),(86,43),(324,34),(254,157),(253,90),(316,33),(305,124),(27,109),(253,104),(78,77),(234,134),(56,62),(12,26),(239,121),(296,77),(279,125),(17,49),(74,128),(305,136),(323,9),(241,27),(249,82),(331,52),(205,37),(157,101),(158,145),(140,33),(22,47),(38,161),(20,140),(28,46),(90,10),(257,22),(105,57),(277,35),(310,131),(251,94),(297,90),(229,62),(85,71),(229,141),(97,6),(290,7),(334,51),(61,25),(227,58),(98,118),(152,73),(19,98),(284,30),(243,66),(133,33),(291,24),(141,153),(72,53),(320,67),(230,140),(241,110),(89,77),(75,161),(316,21),
4:(64,18),(27,75),(172,137),(182,32),(237,110),(116,38),(61,54),(261,153),(260,153),(21,14),(134,27),(169,35),(97,93),(215,125),(22,146),(253,156),(71,141),(12,15),(177,58),(294,28),(151,21),(166,45),(332,93),(18,43),(112,9),(306,17),(6,98),(307,84),(169,78),(54,9),(34,3),(112,61),(243,74),(328,117),(173,37),(135,54),(105,18),(17,66),(36,19),(230,149),(157,74),(4,149),(19,24),(316,139),(162,58),(133,63),(122,28),(180,34),(246,85),(61,47),(224,34),(10,109),(328,120),(238,89),(333,88),(4,25),(96,5),(199,6),(44,96),(300,40),(8,40),(279,113),(140,109),(304,14),(111,46),(40,26),(90,121),(135,101),(5,92),(325,125),(12,91),(55,26),(320,98),(123,109),(121,42),(229,92),(160,161),(145,112),(293,82),(112,145),(318,11),(299,104),(146,141),(309,118),(218,99),(200,18),(156,145),(100,153),(62,119),(320,5),(20,130),(50,89),(57,6),(134,121),(325,34),(41,84),(75,89),(37,21),(322,87),(189,2),(194,126),(297,31),(189,46),(244,114),(250,10),(292,159),(38,42),(13,61),(100,54),(335,110),(316,84),(122,83),(7,102),(158,75),(47,75),(218,40),(170,57),(246,141),(64,93),(133,160),(295,28),(217,78),(241,64),(47,45),(44,22),(170,131),(288,146),(84,161),(322,145),(239,70),(5,54),(170,150),(18,107),(193,130),(63,121),(321,13),(41,157),(4,138),(307,76),(306,107),(118,22),(290,79),(21,12),(218,93),(133,6),(98,127),(4,108),(31,9),(3,80),(324,43),(12,71),(298,137),(58,141),(18,94),(309,95),(122,133),(82,6),(275,117),(62,32),(24,57),(14,136),(62,152),(109,78),(47,155),(235,54),(289,142),(37,32),(328,36),(222,142),(333,112),(319,91),(174,6),(136,97),(102,97),(117,46),(90,38),(37,63),(79,14),(208,149),(160,141),(86,44),(323,34),(253,157),(253,91),(315,33),(304,124),(27,110),(253,103),(79,77),(235,134),(57,62),(13,26),(238,121),(296,78),(280,125),(18,49),(74,129),(304,136),(322,9),(241,28),(248,82),(331,51),(204,37),(157,102),(158,144),(141,33),(23,47),(39,161),(19,140),(29,46),(91,10),(256,22),(106,57),(277,36),(309,131),(250,94),(296,90),(229,63),(85,72),(230,141),(98,6),(289,7),(333,51),(61,24),(228,58),(99,118),(151,73),(20,98),(283,30),(244,66),(132,33),(291,25),(140,153),(71,53),(320,68),(230,139),(240,110),(88,77),(74,161),(315,21),
5:(65,18),(27,74),(171,137),(182,33),(238,110),(115,38),(61,55),(260,153),(260,154),(22,14),(134,28),(169,36),(97,94),(216,125),(23,146),(253,155),(72,141),(13,15),(178,58),(294,29),(150,21),(167,45),(332,94),(18,44),(113,9),(306,18),(7,98),(307,85),(168,78),(55,9),(35,3),(112,62),(242,74),(328,116),(172,37),(134,54),(106,18),(18,66),(35,19),(230,148),(157,75),(4,148),(20,24),(316,138),(163,58),(133,62),(122,29),(181,34),(245,85),(61,48),(225,34),(10,110),(327,120),(237,89),(333,87),(4,26),(95,5),(198,6),(44,97),(301,40),(8,41),(278,113),(139,109),(304,15),(110,46),(40,27),(89,121),(134,101),(6,92),(324,125),(13,91),(56,26),(319,98),(124,109),(121,43),(230,92),(159,161),(145,111),(292,82),(112,146),(318,12),(299,105),(146,140),(308,118),(218,98),(201,18),(157,145),(99,153),(62,118),(320,6),(20,129),(51,89),(58,6),(134,120),(324,34),(40,84),(76,89),(38,21),(322,88),(188,2),(195,126),(296,31),(188,46),(245,114),(249,10),(293,159),(38,43),(13,62),(101,54),(335,109),(316,85),(121,83),(7,101),(158,74),(46,75),(218,41),(170,56),(245,141),(63,93),(134,160),(295,27),(217,79),(241,63),(47,44),(44,23),(170,130),(287,146),(85,161),(321,145),(240,70),(6,54),(171,150),(19,107),(193,129),(62,121),(321,14),(41,156),(5,138),(307,77),(306,108),(117,22),(290,78),(21,13),(218,92),(133,7),(98,128),(4,107),(32,9),(4,80),(323,43),(13,71),(298,138),(59,141),(18,95),(309,96),(121,133),(83,6),(274,117),(62,33),(25,57),(14,135),(62,151),(110,78),(47,154),(234,54),(288,142),(37,33),(328,37),(221,142),(332,112),(319,90),(175,6),(135,97),(102,98),(116,46),(89,38),(37,64),(78,14),(209,149),(159,141),(86,45),(323,35),(252,157),(254,91),(315,34),(303,124),(28,110),(254,103),(80,77),(236,134),(58,62),(13,27),(237,121),(295,78),(281,125),(19,49),(75,129),(304,135),(321,9),(241,29),(247,82),(331,50),(204,38),(156,102),(158,143),(142,33),(24,47),(40,161),(18,140),(30,46),(92,10),(255,22),(107,57),(277,37),(308,131),(249,94),(295,90),(229,64),(85,73),(230,140),(99,6),(289,8),(333,52),(62,24),(229,58),(100,118),(150,73),(21,98),(282,30),(245,66),(131,33),(291,26),(139,153),(70,53),(320,69),(230,138),(240,109),(87,77),(73,161),(314,21),
6:(66,18),(27,73),(170,137),(181,33),(239,110),(114,38),(61,56),(259,153),(261,154),(23,14),(134,29),(169,37),(96,94),(217,125),(24,146),(253,154),(73,141),(14,15),(179,58),(294,30),(149,21),(168,45),(332,95),(18,45),(113,10),(305,18),(8,98),(307,86),(167,78),(56,9),(35,4),(113,62),(242,75),(327,116),(171,37),(134,55),(107,18),(19,66),(35,20),(230,147),(157,76),(5,148),(20,25),(315,138),(164,58),(132,62),(122,30),(181,35),(244,85),(61,49),(226,34),(11,110),(326,120),(236,89),(333,86),(5,26),(95,6),(197,6),(45,97),(301,41),(9,41),(277,113),(138,109),(303,15),(110,47),(41,27),(88,121),(133,101),(6,93),(324,124),(14,91),(57,26),(319,97),(125,109),(121,44),(230,91),(158,161),(145,110),(291,82),(113,146),(318,13),(299,106),(146,139),(307,118),(218,97),(202,18),(158,145),(98,153),(61,118),(320,7),(20,128),(51,90),(59,6),(134,119),(323,34),(39,84),(77,89),(38,22),(321,88),(187,2),(196,126),(296,32),(187,46),(246,114),(248,10),(293,158),(37,43),(13,63),(102,54),(335,108),(316,86),(121,84),(7,100),(158,73),(46,76),(218,42),(170,55),(244,141),(62,93),(134,159),(295,26),(217,80),(241,62),(47,43),(45,23),(171,130),(286,146),(85,160),(321,144),(241,70),(6,55),(172,150),(20,107),(193,128),(62,120),(320,14),(41,155),(5,139),(307,78),(306,109),(116,22),(290,77),(21,14),(218,91),(133,8),(98,129),(5,107),(33,9),(4,79),(322,43),(13,72),(298,139),(60,141),(19,95),(309,97),(120,133),(84,6),(273,117),(63,33),(26,57),(15,135),(62,150),(111,78),(47,153),(233,54),(288,141),(37,34),(327,37),(220,142),(332,111),(319,89),(176,6),(134,97),(101,98),(115,46),(88,38),(37,65),(77,14),(210,149),(158,141),(86,46),(322,35),(251,157),(254,92),(314,34),(302,124),(28,111),(254,102),(81,77),(237,134),(59,62),(14,27),(236,121),(294,78),(282,125),(20,49),(75,130),(304,134),(320,9),(241,30),(246,82),(330,50),(203,38),(155,102),(158,142),(142,34),(25,47),(40,160),(17,140),(31,46),(93,10),(254,22),(108,57),(276,37),(308,130),(248,94),(295,89),(229,65),(84,73),(230,139),(100,6),(289,9),(333,53),(62,23),(230,58),(100,117),(149,73),(21,97),(281,30),(246,66),(130,33),(291,27),(138,153),(69,53),(319,69),(230,137),(239,109),(86,77),(72,161),(314,22),
