instance=temp_instance.txt
agents=190
map_file=den520d.map
solver=PIBT
solved=1
soc=36853
lb_soc=34933
makespan=405
lb_makespan=405
comp_time=170
preprocessing_comp_time=118
starts=(229,220),(97,223),(239,201),(224,216),(62,41),(193,180),(180,58),(70,159),(43,161),(155,154),(62,60),(114,170),(31,161),(205,67),(153,21),(18,202),(219,86),(180,151),(242,3),(80,136),(144,164),(186,52),(163,121),(213,213),(151,92),(139,222),(90,137),(106,220),(51,147),(130,149),(222,58),(171,122),(92,40),(201,163),(144,216),(69,223),(143,113),(169,179),(145,149),(160,22),(115,40),(191,40),(88,175),(235,212),(45,52),(137,13),(46,147),(129,215),(92,232),(69,221),(225,188),(207,205),(87,176),(34,167),(99,169),(122,48),(183,34),(40,155),(131,228),(14,164),(57,67),(71,63),(51,71),(171,59),(65,226),(175,69),(173,107),(235,88),(25,78),(217,124),(197,53),(171,73),(137,42),(53,68),(214,209),(210,78),(71,36),(91,179),(165,22),(231,130),(118,48),(124,16),(215,217),(68,189),(120,154),(231,214),(40,146),(90,210),(131,97),(166,125),(208,53),(117,165),(70,202),(91,142),(8,192),(59,168),(98,219),(178,86),(196,164),(85,204),(92,85),(133,52),(85,100),(244,104),(13,172),(28,72),(22,177),(200,174),(130,11),(169,110),(166,67),(29,173),(88,145),(216,71),(146,152),(148,152),(25,159),(88,212),(216,126),(165,27),(221,65),(113,115),(81,154),(188,41),(84,208),(44,158),(202,32),(216,61),(62,167),(128,168),(164,25),(151,179),(69,43),(199,156),(131,38),(167,150),(19,154),(204,195),(190,87),(147,100),(172,32),(106,42),(191,88),(81,214),(244,87),(189,88),(167,87),(68,71),(200,175),(184,134),(214,133),(126,34),(133,167),(248,19),(97,38),(184,128),(243,58),(112,114),(145,206),(233,118),(194,60),(252,137),(65,51),(201,70),(79,146),(189,64),(52,60),(209,37),(153,102),(22,169),(94,90),(95,172),(72,165),(93,181),(210,70),(83,191),(172,86),(159,171),(250,21),(102,233),(176,76),(123,54),(124,32),(232,184),(177,81),(170,181),(22,179),(241,9),(249,15),(83,96),
goals=(66,170),(94,81),(243,56),(88,81),(188,34),(115,157),(165,59),(119,46),(72,163),(70,171),(177,128),(104,113),(166,122),(111,94),(89,95),(242,202),(190,168),(248,46),(29,178),(155,18),(232,92),(99,233),(160,21),(233,105),(73,199),(243,34),(235,14),(13,137),(62,52),(118,115),(242,45),(47,172),(85,47),(122,159),(248,54),(179,68),(119,59),(104,36),(34,170),(153,106),(113,84),(103,45),(69,84),(131,152),(204,190),(157,220),(44,168),(245,15),(143,98),(223,208),(217,221),(87,58),(61,84),(178,163),(59,158),(239,203),(200,198),(248,130),(99,112),(210,76),(11,182),(166,53),(196,43),(70,172),(116,110),(62,92),(197,171),(74,145),(59,134),(81,145),(166,27),(213,132),(170,42),(43,134),(166,101),(47,139),(234,102),(77,177),(98,232),(233,53),(45,84),(203,63),(100,215),(215,59),(166,64),(184,144),(142,95),(170,101),(100,152),(181,134),(180,65),(122,169),(119,115),(85,165),(128,89),(210,51),(154,25),(225,75),(153,209),(110,225),(221,177),(211,53),(171,98),(82,191),(7,202),(115,104),(169,55),(216,57),(101,156),(33,163),(212,33),(235,66),(125,13),(224,89),(142,38),(210,181),(59,75),(134,163),(179,78),(84,179),(118,160),(83,202),(62,91),(131,19),(201,175),(103,40),(165,91),(17,166),(147,158),(221,201),(132,97),(128,57),(49,89),(14,171),(90,152),(96,168),(82,62),(159,133),(128,62),(54,172),(210,80),(216,60),(55,133),(60,37),(9,186),(207,190),(225,60),(201,90),(67,220),(225,204),(79,205),(16,144),(80,189),(252,141),(89,165),(44,170),(37,154),(128,102),(91,169),(209,183),(178,64),(85,108),(87,190),(207,37),(62,36),(205,180),(104,214),(73,93),(50,85),(217,121),(93,208),(206,175),(170,58),(204,195),(49,156),(206,90),(182,148),(119,38),(65,153),(188,56),(193,66),(190,35),(195,164),(78,92),(166,152),(241,89),(24,180),(236,95),(150,213),(100,90),
solution=
0:(229,220),(97,223),(239,201),(224,216),(62,41),(193,180),(180,58),(70,159),(43,161),(155,154),(62,60),(114,170),(31,161),(205,67),(153,21),(18,202),(219,86),(180,151),(242,3),(80,136),(144,164),(186,52),(163,121),(213,213),(151,92),(139,222),(90,137),(106,220),(51,147),(130,149),(222,58),(171,122),(92,40),(201,163),(144,216),(69,223),(143,113),(169,179),(145,149),(160,22),(115,40),(191,40),(88,175),(235,212),(45,52),(137,13),(46,147),(129,215),(92,232),(69,221),(225,188),(207,205),(87,176),(34,167),(99,169),(122,48),(183,34),(40,155),(131,228),(14,164),(57,67),(71,63),(51,71),(171,59),(65,226),(175,69),(173,107),(235,88),(25,78),(217,124),(197,53),(171,73),(137,42),(53,68),(214,209),(210,78),(71,36),(91,179),(165,22),(231,130),(118,48),(124,16),(215,217),(68,189),(120,154),(231,214),(40,146),(90,210),(131,97),(166,125),(208,53),(117,165),(70,202),(91,142),(8,192),(59,168),(98,219),(178,86),(196,164),(85,204),(92,85),(133,52),(85,100),(244,104),(13,172),(28,72),(22,177),(200,174),(130,11),(169,110),(166,67),(29,173),(88,145),(216,71),(146,152),(148,152),(25,159),(88,212),(216,126),(165,27),(221,65),(113,115),(81,154),(188,41),(84,208),(44,158),(202,32),(216,61),(62,167),(128,168),(164,25),(151,179),(69,43),(199,156),(131,38),(167,150),(19,154),(204,195),(190,87),(147,100),(172,32),(106,42),(191,88),(81,214),(244,87),(189,88),(167,87),(68,71),(200,175),(184,134),(214,133),(126,34),(133,167),(248,19),(97,38),(184,128),(243,58),(112,114),(145,206),(233,118),(194,60),(252,137),(65,51),(201,70),(79,146),(189,64),(52,60),(209,37),(153,102),(22,169),(94,90),(95,172),(72,165),(93,181),(210,70),(83,191),(172,86),(159,171),(250,21),(102,233),(176,76),(123,54),(124,32),(232,184),(177,81),(170,181),(22,179),(241,9),(249,15),(83,96),
1:(229,219),(97,222),(238,201),(224,215),(63,41),(192,180),(179,58),(71,159),(43,162),(155,155),(62,61),(114,169),(31,160),(205,68),(153,22),(18,201),(218,86),(179,151),(241,3),(81,136),(144,163),(186,53),(164,121),(212,213),(152,92),(138,222),(90,138),(105,220),(52,147),(131,149),(223,58),(171,123),(91,40),(200,163),(144,215),(70,223),(144,113),(168,179),(145,150),(161,22),(114,40),(190,40),(89,175),(234,212),(45,53),(138,13),(46,148),(129,214),(93,232),(70,221),(224,188),(206,205),(87,175),(34,166),(99,168),(122,47),(183,35),(41,155),(131,227),(15,164),(57,68),(72,63),(51,70),(170,59),(66,226),(174,69),(174,107),(234,88),(25,77),(217,123),(196,53),(172,73),(138,42),(54,68),(214,208),(210,79),(71,37),(91,178),(166,22),(232,130),(118,49),(125,16),(215,216),(69,189),(121,154),(230,214),(40,147),(91,210),(131,98),(166,126),(207,53),(118,165),(71,202),(90,142),(9,192),(59,167),(97,219),(178,85),(196,165),(85,205),(92,86),(134,52),(85,99),(243,104),(12,172),(28,73),(23,177),(199,174),(130,12),(168,110),(166,66),(30,173),(89,145),(216,72),(146,151),(149,152),(25,158),(88,211),(216,125),(165,28),(220,65),(114,115),(81,153),(187,41),(85,208),(44,157),(202,33),(216,62),(62,166),(129,168),(165,25),(152,179),(68,43),(198,156),(131,39),(166,150),(19,153),(203,195),(189,87),(148,100),(173,32),(107,42),(190,88),(81,213),(244,86),(189,89),(167,86),(69,71),(199,175),(184,135),(214,132),(127,34),(133,168),(247,19),(98,38),(184,129),(243,59),(112,113),(144,206),(233,117),(193,60),(252,136),(66,51),(201,69),(80,146),(189,65),(52,61),(209,38),(153,101),(23,169),(95,90),(95,173),(72,164),(93,180),(210,71),(84,191),(172,87),(159,170),(250,22),(101,233),(177,76),(123,55),(124,33),(231,184),(176,81),(170,180),(23,179),(241,10),(248,15),(84,96),
2:(229,218),(97,221),(238,200),(224,214),(64,41),(192,179),(179,59),(72,159),(43,163),(154,155),(63,61),(114,168),(31,159),(204,68),(154,22),(18,200),(217,86),(179,150),(241,4),(81,137),(144,162),(185,53),(165,121),(211,213),(152,93),(138,221),(90,139),(105,219),(53,147),(132,149),(223,57),(170,123),(91,41),(200,162),(143,215),(70,222),(144,112),(167,179),(145,151),(162,22),(113,40),(190,41),(90,175),(233,212),(46,53),(138,14),(45,148),(129,213),(94,232),(71,221),(224,189),(205,205),(87,174),(34,165),(98,168),(123,47),(182,35),(41,154),(130,227),(15,163),(57,69),(73,63),(52,70),(169,59),(66,225),(174,70),(174,108),(234,87),(26,77),(217,122),(195,53),(172,74),(139,42),(54,69),(213,208),(209,79),(72,37),(91,177),(166,23),(233,130),(118,50),(125,17),(215,215),(70,189),(122,154),(230,213),(40,148),(91,209),(132,98),(166,127),(207,54),(119,165),(71,201),(90,143),(10,192),(60,167),(97,218),(178,84),(195,165),(86,205),(92,87),(134,51),(86,99),(242,104),(12,173),(29,73),(24,177),(199,173),(130,13),(168,111),(167,66),(30,172),(90,145),(216,73),(147,151),(150,152),(26,158),(88,210),(217,125),(165,29),(219,65),(115,115),(82,153),(186,41),(86,208),(45,157),(201,33),(215,62),(63,166),(130,168),(165,26),(152,178),(68,44),(197,156),(132,39),(166,151),(20,153),(202,195),(189,86),(148,101),(173,33),(108,42),(189,88),(81,212),(243,86),(188,89),(167,85),(70,71),(198,175),(185,135),(214,131),(127,35),(132,168),(247,20),(98,39),(183,129),(243,60),(113,113),(143,206),(233,116),(193,61),(251,136),(66,52),(201,68),(81,146),(189,66),(53,61),(208,38),(153,100),(23,168),(96,90),(96,173),(72,163),(94,180),(210,72),(85,191),(172,88),(159,169),(249,22),(100,233),(177,75),(124,55),(125,33),(230,184),(175,81),(170,179),(23,180),(240,10),(247,15),(84,95),
3:(228,218),(97,220),(237,200),(224,213),(65,41),(192,178),(178,59),(72,158),(44,163),(153,155),(63,62),(114,167),(32,159),(203,68),(154,23),(18,199),(216,86),(179,149),(241,5),(82,137),(145,162),(184,53),(166,121),(210,213),(153,93),(137,221),(91,139),(104,219),(53,148),(133,149),(224,57),(169,123),(91,42),(199,162),(143,214),(71,222),(144,111),(166,179),(145,152),(163,22),(113,41),(190,42),(90,174),(232,212),(47,53),(138,15),(44,148),(128,213),(94,231),(72,221),(223,189),(205,204),(87,173),(35,165),(98,167),(124,47),(182,36),(41,153),(129,227),(16,163),(57,70),(74,63),(53,70),(169,60),(67,225),(173,70),(175,108),(234,86),(26,76),(217,121),(194,53),(173,74),(139,43),(54,70),(212,208),(209,80),(72,38),(90,177),(166,24),(233,129),(117,50),(126,17),(215,214),(70,188),(123,154),(229,213),(40,149),(92,209),(132,99),(166,128),(207,55),(120,165),(72,201),(90,144),(11,192),(61,167),(97,217),(178,83),(194,165),(86,206),(93,87),(135,51),(87,99),(242,103),(12,174),(30,73),(24,176),(198,173),(130,14),(167,111),(168,66),(30,171),(90,146),(217,73),(147,150),(150,153),(26,157),(89,210),(217,124),(165,30),(219,66),(115,114),(83,153),(185,41),(86,207),(45,156),(200,33),(214,62),(64,166),(130,169),(165,27),(153,178),(68,45),(196,156),(132,40),(165,151),(21,153),(202,194),(188,86),(149,101),(174,33),(108,43),(188,88),(82,212),(242,86),(187,89),(168,85),(71,71),(197,175),(185,136),(214,130),(127,36),(131,168),(247,21),(99,39),(182,129),(243,61),(113,112),(142,206),(233,115),(193,62),(250,136),(67,52),(201,67),(82,146),(189,67),(54,61),(207,38),(152,100),(24,168),(96,91),(97,173),(72,162),(95,180),(210,73),(85,190),(173,88),(160,169),(249,23),(100,232),(178,75),(124,56),(125,34),(230,183),(175,82),(171,179),(24,180),(239,10),(246,15),(84,94),
4:(228,217),(97,219),(236,200),(224,212),(65,42),(191,178),(177,59),(73,158),(45,163),(152,155),(64,62),(114,166),(33,159),(203,69),(154,24),(18,198),(215,86),(179,148),(241,6),(83,137),(145,161),(184,54),(167,121),(209,213),(154,93),(137,220),(91,140),(103,219),(53,149),(134,149),(224,56),(169,124),(90,42),(198,162),(142,214),(71,221),(144,110),(166,178),(144,152),(163,23),(113,42),(190,43),(91,174),(232,211),(47,54),(139,15),(44,149),(127,213),(94,230),(73,221),(222,189),(204,204),(88,173),(36,165),(98,166),(125,47),(181,36),(42,153),(129,226),(17,163),(58,70),(74,62),(53,69),(168,60),(67,224),(173,71),(176,108),(233,86),(27,76),(217,120),(193,53),(174,74),(139,44),(55,70),(211,208),(208,80),(73,38),(89,177),(167,24),(233,128),(117,51),(126,18),(214,214),(70,187),(123,153),(228,213),(40,150),(93,209),(133,99),(166,129),(206,55),(120,166),(72,200),(90,145),(12,192),(61,166),(97,216),(179,83),(193,165),(87,206),(94,87),(135,50),(88,99),(241,103),(12,175),(30,74),(25,176),(197,173),(130,15),(167,112),(168,65),(31,171),(91,146),(218,73),(148,150),(151,153),(26,156),(89,209),(217,123),(165,31),(219,67),(116,114),(84,153),(185,42),(87,207),(46,156),(199,33),(214,63),(64,165),(131,169),(166,27),(154,178),(67,45),(195,156),(132,41),(164,151),(22,153),(202,193),(188,85),(150,101),(175,33),(109,43),(188,89),(82,211),(241,86),(187,90),(169,85),(71,72),(197,174),(185,137),(215,130),(127,37),(130,168),(246,21),(100,39),(181,129),(242,61),(114,112),(142,207),(232,115),(193,63),(250,135),(68,52),(201,66),(82,147),(189,68),(54,62),(206,38),(152,99),(25,168),(96,92),(98,173),(73,162),(95,179),(210,74),(86,190),(173,89),(161,169),(248,23),(99,232),(178,74),(124,57),(125,35),(230,182),(174,82),(171,178),(24,180),(238,10),(246,16),(84,93),
5:(228,216),(97,218),(235,200),(224,211),(65,43),(190,178),(176,59),(73,157),(46,163),(152,156),(64,63),(114,165),(33,158),(202,69),(155,24),(18,197),(214,86),(179,147),(240,6),(83,138),(145,160),(184,55),(168,121),(209,212),(155,93),(137,219),(91,141),(103,218),(54,149),(135,149),(224,55),(169,125),(89,42),(198,161),(141,214),(72,221),(144,109),(165,178),(143,152),(163,24),(113,43),(190,44),(92,174),(231,211),(48,54),(139,16),(44,150),(126,213),(95,230),(74,221),(221,189),(204,203),(89,173),(37,165),(97,166),(126,47),(180,36),(43,153),(128,226),(18,163),(58,71),(74,61),(53,68),(167,60),(67,223),(172,71),(176,109),(232,86),(27,75),(217,119),(192,53),(175,74),(139,45),(56,70),(211,207),(207,80),(74,38),(88,177),(168,24),(233,127),(117,52),(126,19),(213,214),(71,187),(124,153),(227,213),(40,151),(94,209),(133,100),(166,130),(205,55),(121,166),(73,200),(89,145),(13,192),(62,166),(97,215),(179,82),(192,165),(88,206),(95,87),(135,49),(89,99),(241,102),(12,176),(30,75),(26,176),(196,173),(130,16),(167,113),(168,64),(32,171),(91,147),(218,74),(148,149),(152,153),(27,156),(90,209),(217,122),(166,31),(219,68),(116,113),(85,153),(185,43),(88,207),(46,155),(199,34),(213,63),(64,164),(132,169),(166,28),(155,178),(66,45),(195,157),(133,41),(163,151),(23,153),(202,192),(188,84),(150,102),(175,34),(110,43),(188,90),(83,211),(240,86),(187,91),(169,84),(71,73),(196,174),(185,138),(216,130),(128,37),(130,169),(245,21),(100,40),(181,130),(241,61),(115,112),(142,208),(231,115),(193,64),(250,134),(69,52),(201,65),(83,147),(188,68),(55,62),(206,39),(152,98),(25,167),(97,92),(99,173),(74,162),(95,178),(210,75),(87,190),(174,89),(161,168),(248,24),(99,231),(178,73),(125,57),(125,36),(229,182),(174,83),(171,177),(24,180),(237,10),(245,16),(85,93),
6:(227,216),(97,217),(235,199),(224,210),(66,43),(189,178),(175,59),(73,156),(47,163),(152,157),(65,63),(115,165),(34,158),(202,70),(156,24),(18,196),(213,86),(179,146),(240,7),(84,138),(145,159),(184,56),(168,120),(209,211),(155,94),(136,219),(92,141),(102,218),(55,149),(136,149),(225,55),(169,126),(88,42),(198,160),(140,214),(73,221),(144,108),(165,177),(142,152),(163,25),(112,43),(189,44),(92,173),(231,210),(48,55),(140,16),(44,151),(125,213),(96,230),(74,220),(221,190),(204,202),(90,173),(37,164),(96,166),(127,47),(180,37),(44,153),(127,226),(18,162),(59,71),(74,60),(54,68),(166,60),(67,222),(171,71),(177,109),(231,86),(28,75),(217,118),(191,53),(176,74),(140,45),(57,70),(211,206),(207,81),(75,38),(87,177),(168,25),(233,126),(117,53),(127,19),(213,213),(72,187),(125,153),(227,212),(40,152),(94,208),(134,100),(167,130),(204,55),(121,167),(73,199),(88,145),(13,191),(63,166),(97,214),(180,82),(191,165),(89,206),(95,88),(136,49),(89,98),(241,101),(11,176),(31,75),(26,175),(195,173),(130,17),(167,114),(168,63),(33,171),(91,148),(218,75),(149,149),(153,153),(27,155),(91,209),(217,121),(166,32),(219,69),(116,112),(86,153),(184,43),(89,207),(47,155),(198,34),(213,64),(65,164),(133,169),(166,29),(155,177),(66,46),(195,158),(134,41),(163,152),(24,153),(202,191),(187,84),(151,102),(176,34),(111,43),(187,90),(84,211),(239,86),(187,92),(170,84),(72,73),(195,174),(185,139),(217,130),(129,37),(129,169),(244,21),(100,41),(180,130),(241,62),(115,111),(141,208),(231,114),(192,64),(249,134),(70,52),(200,65),(83,148),(188,69),(56,62),(205,39),(152,97),(26,167),(97,93),(100,173),(74,161),(96,178),(210,76),(88,190),(175,89),(161,167),(247,24),(98,231),(178,72),(125,58),(125,37),(229,181),(173,83),(172,177),(24,180),(236,10),(244,16),(86,93),
