instance=temp_instance.txt
agents=260
map_file=warehouse-20-40-10-2-2.map
solver=PIBT
solved=1
soc=50053
lb_soc=43699
makespan=419
lb_makespan=419
comp_time=235
preprocessing_comp_time=171
starts=(289,23),(309,112),(297,36),(256,138),(324,19),(203,81),(121,31),(32,74),(145,33),(331,68),(72,38),(308,134),(173,154),(302,118),(259,129),(49,78),(162,1),(320,143),(325,110),(16,51),(23,59),(62,22),(290,27),(297,135),(149,66),(69,57),(89,37),(66,45),(90,97),(174,89),(42,93),(78,154),(76,57),(154,81),(82,118),(326,49),(324,36),(277,29),(72,154),(247,46),(289,157),(254,10),(332,105),(104,46),(10,134),(325,156),(310,125),(49,45),(85,3),(295,141),(96,26),(330,92),(83,94),(221,38),(321,89),(154,101),(35,96),(22,107),(179,38),(193,6),(170,111),(221,61),(197,85),(134,61),(272,113),(305,33),(110,126),(302,114),(47,6),(1,57),(322,160),(257,102),(167,69),(35,40),(120,101),(337,85),(21,99),(101,125),(337,17),(210,141),(13,145),(171,50),(100,38),(227,77),(37,93),(297,113),(290,22),(218,76),(277,126),(143,158),(236,49),(98,125),(195,117),(1,124),(251,14),(85,42),(42,133),(104,78),(289,31),(290,34),(181,11),(15,47),(1,137),(324,82),(313,88),(179,53),(305,98),(61,140),(298,46),(327,111),(287,109),(47,106),(117,86),(158,103),(327,125),(74,160),(263,154),(131,29),(243,86),(166,6),(20,120),(300,1),(28,74),(315,158),(242,88),(246,149),(99,106),(19,88),(146,58),(20,96),(206,29),(200,94),(206,122),(314,105),(165,29),(119,150),(135,82),(328,142),(32,93),(331,109),(19,85),(215,130),(32,132),(26,20),(12,137),(240,53),(328,93),(91,114),(35,86),(4,10),(334,130),(58,98),(130,113),(53,162),(319,113),(113,77),(184,18),(326,99),(103,66),(26,51),(260,21),(186,26),(168,81),(217,66),(210,37),(181,7),(19,120),(28,10),(232,86),(18,74),(164,46),(177,145),(291,139),(253,141),(127,86),(254,88),(103,73),(41,129),(266,23),(241,127),(159,162),(154,45),(212,2),(320,4),(336,55),(113,146),(127,125),(76,46),(329,37),(285,14),(42,4),(42,15),(212,105),(89,42),(92,49),(21,54),(50,17),(61,144),(9,110),(173,82),(183,122),(21,114),(306,107),(329,32),(6,30),(17,93),(7,28),(105,82),(57,121),(297,124),(101,25),(171,98),(220,121),(291,96),(276,10),(62,47),(35,150),(190,9),(10,133),(218,36),(172,57),(119,73),(316,23),(40,105),(301,151),(120,129),(328,43),(62,160),(166,30),(119,138),(321,24),(100,142),(46,91),(88,65),(42,97),(25,98),(217,49),(1,40),(38,157),(171,78),(145,66),(45,58),(237,162),(273,2),(15,66),(66,77),(251,77),(194,52),(26,53),(122,79),(33,41),(70,65),(166,54),(192,125),(229,102),(173,21),(27,13),(93,70),(95,22),(29,113),
goals=(314,147),(48,70),(266,157),(164,146),(126,102),(279,22),(307,80),(111,145),(65,141),(97,140),(154,54),(233,45),(206,113),(321,38),(95,97),(316,150),(156,158),(258,78),(184,154),(284,126),(327,105),(25,3),(104,62),(68,109),(44,152),(27,44),(83,130),(302,1),(109,39),(66,89),(17,118),(175,106),(217,8),(23,41),(333,94),(325,18),(131,149),(133,102),(83,81),(296,77),(274,50),(167,105),(117,13),(43,100),(48,97),(317,30),(210,57),(232,46),(15,64),(317,136),(325,92),(91,94),(274,34),(45,149),(18,27),(42,107),(167,69),(301,117),(217,130),(97,96),(271,85),(87,110),(274,105),(175,77),(204,149),(329,147),(181,134),(1,91),(102,65),(25,35),(42,59),(39,35),(2,17),(55,109),(193,34),(129,73),(277,38),(91,57),(328,99),(229,97),(3,136),(6,91),(265,81),(216,34),(287,29),(277,106),(105,106),(318,107),(161,162),(241,63),(335,45),(308,78),(40,52),(312,72),(325,62),(45,13),(171,146),(117,21),(198,34),(225,34),(337,59),(15,43),(158,40),(97,23),(114,98),(17,93),(300,64),(293,46),(277,33),(320,93),(15,29),(243,142),(190,154),(269,66),(133,8),(88,26),(265,80),(61,32),(38,158),(221,101),(295,50),(330,82),(320,75),(319,80),(203,109),(167,154),(57,66),(64,90),(299,116),(295,78),(44,145),(302,23),(292,54),(286,10),(283,53),(326,1),(240,146),(43,102),(278,47),(92,53),(45,34),(181,50),(310,104),(305,160),(270,74),(23,104),(187,126),(111,142),(151,86),(193,54),(183,117),(147,21),(260,114),(73,112),(104,101),(164,122),(183,101),(169,2),(189,86),(302,105),(93,158),(209,146),(113,114),(147,101),(209,89),(5,102),(82,29),(112,93),(14,125),(280,93),(21,71),(313,71),(168,53),(10,86),(133,19),(331,124),(312,153),(254,7),(190,22),(43,113),(39,17),(54,50),(158,22),(82,145),(12,46),(49,126),(111,133),(281,141),(277,52),(130,78),(305,77),(14,79),(47,108),(199,37),(242,80),(36,32),(141,153),(20,98),(34,4),(190,50),(190,9),(170,94),(269,98),(146,149),(42,35),(323,134),(20,94),(23,119),(315,67),(97,107),(338,79),(44,105),(266,53),(305,21),(113,29),(66,45),(309,55),(183,70),(90,29),(90,34),(308,129),(241,64),(251,77),(224,50),(153,141),(82,105),(85,43),(113,78),(230,35),(65,130),(45,12),(71,62),(128,98),(85,63),(136,93),(106,65),(266,92),(103,74),(137,141),(134,143),(25,63),(5,72),(300,6),(308,12),(51,138),(281,37),(28,147),(250,13),(17,44),(300,41),(40,138),(132,57),(5,13),(279,5),(296,67),(298,29),(157,15),(99,106),(146,107),(16,129),
solution=
0:(289,23),(309,112),(297,36),(256,138),(324,19),(203,81),(121,31),(32,74),(145,33),(331,68),(72,38),(308,134),(173,154),(302,118),(259,129),(49,78),(162,1),(320,143),(325,110),(16,51),(23,59),(62,22),(290,27),(297,135),(149,66),(69,57),(89,37),(66,45),(90,97),(174,89),(42,93),(78,154),(76,57),(154,81),(82,118),(326,49),(324,36),(277,29),(72,154),(247,46),(289,157),(254,10),(332,105),(104,46),(10,134),(325,156),(310,125),(49,45),(85,3),(295,141),(96,26),(330,92),(83,94),(221,38),(321,89),(154,101),(35,96),(22,107),(179,38),(193,6),(170,111),(221,61),(197,85),(134,61),(272,113),(305,33),(110,126),(302,114),(47,6),(1,57),(322,160),(257,102),(167,69),(35,40),(120,101),(337,85),(21,99),(101,125),(337,17),(210,141),(13,145),(171,50),(100,38),(227,77),(37,93),(297,113),(290,22),(218,76),(277,126),(143,158),(236,49),(98,125),(195,117),(1,124),(251,14),(85,42),(42,133),(104,78),(289,31),(290,34),(181,11),(15,47),(1,137),(324,82),(313,88),(179,53),(305,98),(61,140),(298,46),(327,111),(287,109),(47,106),(117,86),(158,103),(327,125),(74,160),(263,154),(131,29),(243,86),(166,6),(20,120),(300,1),(28,74),(315,158),(242,88),(246,149),(99,106),(19,88),(146,58),(20,96),(206,29),(200,94),(206,122),(314,105),(165,29),(119,150),(135,82),(328,142),(32,93),(331,109),(19,85),(215,130),(32,132),(26,20),(12,137),(240,53),(328,93),(91,114),(35,86),(4,10),(334,130),(58,98),(130,113),(53,162),(319,113),(113,77),(184,18),(326,99),(103,66),(26,51),(260,21),(186,26),(168,81),(217,66),(210,37),(181,7),(19,120),(28,10),(232,86),(18,74),(164,46),(177,145),(291,139),(253,141),(127,86),(254,88),(103,73),(41,129),(266,23),(241,127),(159,162),(154,45),(212,2),(320,4),(336,55),(113,146),(127,125),(76,46),(329,37),(285,14),(42,4),(42,15),(212,105),(89,42),(92,49),(21,54),(50,17),(61,144),(9,110),(173,82),(183,122),(21,114),(306,107),(329,32),(6,30),(17,93),(7,28),(105,82),(57,121),(297,124),(101,25),(171,98),(220,121),(291,96),(276,10),(62,47),(35,150),(190,9),(10,133),(218,36),(172,57),(119,73),(316,23),(40,105),(301,151),(120,129),(328,43),(62,160),(166,30),(119,138),(321,24),(100,142),(46,91),(88,65),(42,97),(25,98),(217,49),(1,40),(38,157),(171,78),(145,66),(45,58),(237,162),(273,2),(15,66),(66,77),(251,77),(194,52),(26,53),(122,79),(33,41),(70,65),(166,54),(192,125),(229,102),(173,21),(27,13),(93,70),(95,22),(29,113),
1:(289,24),(309,111),(297,37),(255,138),(323,19),(204,81),(122,31),(33,74),(144,33),(330,68),(73,38),(307,134),(173,153),(303,118),(258,129),(50,78),(162,2),(319,143),(324,110),(16,52),(23,60),(61,22),(289,27),(297,134),(148,66),(68,57),(89,38),(67,45),(91,97),(173,89),(41,93),(78,153),(77,57),(153,81),(83,118),(325,49),(323,36),(276,29),(73,154),(248,46),(289,156),(253,10),(332,104),(103,46),(11,134),(324,156),(309,125),(50,45),(85,4),(295,140),(97,26),(330,93),(83,93),(220,38),(321,88),(153,101),(35,95),(23,107),(180,38),(192,6),(170,110),(220,61),(198,85),(135,61),(272,114),(306,33),(111,126),(301,114),(47,7),(1,56),(321,160),(256,102),(166,69),(35,41),(121,101),(336,85),(22,99),(100,125),(336,17),(211,141),(12,145),(170,50),(101,38),(226,77),(37,92),(297,112),(290,23),(218,77),(277,127),(144,158),(237,49),(99,125),(194,117),(1,123),(252,14),(84,42),(42,134),(104,77),(289,32),(289,34),(182,11),(15,46),(2,137),(324,81),(312,88),(179,54),(305,97),(62,140),(298,45),(326,111),(286,109),(48,106),(118,86),(158,102),(327,124),(74,159),(264,154),(131,30),(242,86),(167,6),(21,120),(301,1),(29,74),(315,157),(242,89),(246,150),(99,105),(19,89),(146,59),(21,96),(206,30),(200,93),(207,122),(314,104),(166,29),(120,150),(136,82),(328,141),(32,92),(330,109),(20,85),(214,130),(33,132),(27,20),(13,137),(240,54),(328,94),(92,114),(36,86),(4,11),(334,129),(58,97),(130,114),(54,162),(319,112),(114,77),(183,18),(326,98),(104,66),(27,51),(259,21),(187,26),(168,82),(217,67),(209,37),(181,8),(19,119),(29,10),(231,86),(19,74),(163,46),(178,145),(291,138),(253,140),(128,86),(254,89),(104,73),(42,129),(265,23),(241,126),(159,161),(153,45),(211,2),(319,4),(335,55),(113,145),(126,125),(77,46),(329,38),(284,14),(42,5),(41,15),(211,105),(90,42),(93,49),(22,54),(50,18),(61,143),(9,109),(174,82),(182,122),(21,113),(305,107),(328,32),(7,30),(18,93),(7,29),(104,82),(58,121),(297,123),(102,25),(170,98),(221,121),(291,95),(275,10),(62,46),(35,149),(189,9),(11,133),(217,36),(173,57),(120,73),(315,23),(41,105),(301,150),(119,129),(327,43),(62,159),(167,30),(119,137),(321,23),(99,142),(47,91),(87,65),(42,96),(25,97),(217,50),(2,40),(39,157),(170,78),(145,65),(44,58),(238,162),(274,2),(16,66),(67,77),(250,77),(194,51),(25,53),(122,78),(34,41),(71,65),(166,53),(193,125),(229,101),(174,21),(27,14),(94,70),(96,22),(29,114),
2:(289,25),(308,111),(297,38),(254,138),(322,19),(205,81),(122,32),(33,75),(144,34),(329,68),(73,39),(306,134),(174,153),(304,118),(257,129),(51,78),(161,2),(319,142),(323,110),(17,52),(24,60),(61,21),(289,28),(296,134),(147,66),(67,57),(88,38),(68,45),(92,97),(172,89),(40,93),(79,153),(78,57),(152,81),(83,117),(325,48),(323,37),(275,29),(74,154),(249,46),(289,155),(252,10),(332,103),(102,46),(12,134),(324,155),(309,124),(50,46),(85,5),(296,140),(98,26),(330,94),(84,93),(219,38),(320,88),(153,102),(35,94),(23,108),(181,38),(191,6),(170,109),(220,62),(199,85),(136,61),(271,114),(306,34),(112,126),(300,114),(47,8),(2,56),(320,160),(256,101),(165,69),(35,42),(121,100),(336,84),(22,98),(101,125),(335,17),(212,141),(12,144),(170,51),(102,38),(225,77),(37,91),(296,112),(290,24),(218,78),(277,128),(145,158),(238,49),(100,125),(194,116),(2,123),(253,14),(83,42),(42,135),(105,77),(289,33),(288,34),(182,12),(15,45),(3,137),(324,80),(311,88),(178,54),(305,96),(62,139),(298,44),(325,111),(285,109),(48,107),(119,86),(159,102),(326,124),(74,158),(264,153),(130,30),(242,87),(168,6),(22,120),(301,2),(30,74),(316,157),(242,90),(245,150),(98,105),(19,90),(146,60),(22,96),(206,31),(201,93),(208,122),(314,103),(167,29),(121,150),(137,82),(327,141),(33,92),(330,108),(21,85),(214,129),(33,131),(28,20),(13,136),(239,54),(328,95),(93,114),(37,86),(5,11),(333,129),(59,97),(131,114),(54,161),(319,111),(115,77),(182,18),(326,97),(105,66),(27,52),(259,22),(188,26),(167,82),(217,68),(209,38),(181,9),(20,119),(30,10),(230,86),(20,74),(162,46),(179,145),(290,138),(253,139),(129,86),(254,90),(105,73),(42,128),(265,22),(240,126),(158,161),(153,46),(210,2),(319,5),(334,55),(112,145),(126,126),(78,46),(328,38),(283,14),(43,5),(40,15),(211,106),(90,41),(93,50),(23,54),(51,18),(61,142),(9,108),(174,81),(182,121),(22,113),(305,106),(327,32),(8,30),(18,94),(8,29),(103,82),(59,121),(297,122),(102,26),(170,99),(222,121),(292,95),(274,10),(63,46),(36,149),(189,10),(11,132),(217,35),(174,57),(121,73),(315,24),(41,104),(300,150),(118,129),(326,43),(62,158),(168,30),(118,137),(320,23),(99,141),(48,91),(86,65),(42,95),(25,96),(218,50),(3,40),(40,157),(170,79),(144,65),(44,59),(238,161),(275,2),(16,67),(68,77),(249,77),(194,50),(24,53),(123,78),(34,42),(72,65),(165,53),(194,125),(230,101),(174,22),(28,14),(95,70),(97,22),(28,114),
3:(289,26),(308,110),(296,38),(254,139),(322,20),(206,81),(122,33),(33,76),(143,34),(328,68),(74,39),(306,133),(175,153),(305,118),(256,129),(52,78),(160,2),(318,142),(322,110),(18,52),(25,60),(60,21),(289,29),(296,133),(146,66),(66,57),(87,38),(69,45),(93,97),(171,89),(39,93),(80,153),(79,57),(151,81),(84,117),(325,47),(322,37),(274,29),(74,153),(250,46),(289,154),(251,10),(332,102),(101,46),(13,134),(324,154),(309,123),(51,46),(84,5),(296,139),(99,26),(329,94),(85,93),(218,38),(320,87),(152,102),(35,93),(24,108),(182,38),(190,6),(171,109),(219,62),(199,86),(137,61),(270,114),(306,35),(113,126),(299,114),(48,8),(3,56),(319,160),(255,101),(164,69),(36,42),(122,100),(335,84),(23,98),(101,126),(335,18),(213,141),(11,144),(169,51),(103,38),(224,77),(37,90),(295,112),(289,24),(219,78),(277,129),(145,157),(239,49),(101,125),(194,115),(3,123),(254,14),(82,42),(42,136),(106,77),(289,34),(287,34),(182,13),(15,44),(4,137),(323,80),(310,88),(177,54),(305,95),(62,138),(298,43),(324,111),(284,109),(49,107),(120,86),(159,101),(326,123),(74,157),(265,153),(129,30),(241,87),(169,6),(22,119),(302,2),(31,74),(317,157),(241,90),(244,150),(97,105),(20,90),(146,61),(23,96),(206,32),(202,93),(209,122),(314,102),(167,30),(121,149),(138,82),(326,141),(33,91),(330,107),(22,85),(213,129),(33,130),(28,21),(14,136),(238,54),(328,96),(94,114),(38,86),(6,11),(332,129),(60,97),(132,114),(55,161),(318,111),(115,78),(182,19),(326,96),(106,66),(27,53),(258,22),(189,26),(166,82),(217,69),(208,38),(181,10),(21,119),(31,10),(229,86),(21,74),(161,46),(180,145),(289,138),(253,138),(129,85),(255,90),(106,73),(42,127),(264,22),(240,125),(157,161),(152,46),(209,2),(318,5),(334,54),(111,145),(125,126),(79,46),(328,39),(282,14),(43,6),(40,16),(210,106),(91,41),(94,50),(23,53),(52,18),(61,141),(9,107),(175,81),(182,120),(22,112),(304,106),(327,33),(9,30),(18,95),(9,29),(102,82),(60,121),(296,122),(103,26),(169,99),(223,121),(293,95),(273,10),(63,45),(37,149),(188,10),(12,132),(217,34),(174,58),(121,72),(315,25),(42,104),(300,149),(117,129),(326,42),(63,158),(169,30),(117,137),(320,22),(98,141),(48,92),(85,65),(42,94),(26,96),(219,50),(3,41),(41,157),(169,79),(143,65),(43,59),(239,161),(276,2),(16,68),(69,77),(248,77),(195,50),(24,52),(123,77),(34,43),(73,65),(164,53),(194,124),(231,101),(175,22),(29,14),(96,70),(97,23),(27,114),
4:(290,26),(308,109),(295,38),(253,139),(322,21),(207,81),(123,33),(34,76),(142,34),(328,69),(74,40),(305,133),(176,153),(306,118),(255,129),(53,78),(159,2),(318,141),(322,111),(18,53),(25,61),(59,21),(289,30),(295,133),(146,67),(65,57),(86,38),(70,45),(94,97),(170,89),(38,93),(81,153),(80,57),(150,81),(85,117),(325,46),(322,38),(273,29),(74,152),(251,46),(288,154),(250,10),(331,102),(100,46),(14,134),(324,153),(308,123),(52,46),(84,6),(297,139),(100,26),(328,94),(85,92),(218,39),(319,87),(151,102),(35,92),(24,109),(182,39),(189,6),(172,109),(218,62),(200,86),(137,62),(269,114),(306,36),(114,126),(299,113),(48,9),(3,55),(319,159),(254,101),(163,69),(36,43),(122,99),(335,83),(23,97),(100,126),(335,19),(214,141),(10,144),(169,52),(104,38),(223,77),(37,89),(295,111),(289,25),(220,78),(276,129),(146,157),(240,49),(102,125),(193,115),(4,123),(254,15),(82,41),(43,136),(107,77),(288,34),(286,34),(182,14),(15,43),(4,136),(323,79),(310,89),(176,54),(305,94),(62,137),(298,42),(323,111),(283,109),(49,108),(121,86),(160,101),(325,123),(74,156),(265,152),(128,30),(241,88),(169,7),(22,118),(302,3),(32,74),(317,156),(241,91),(243,150),(97,104),(21,90),(146,62),(23,95),(205,32),(203,93),(209,121),(314,101),(168,30),(122,149),(139,82),(326,140),(33,90),(329,107),(23,85),(212,129),(33,129),(28,22),(15,136),(237,54),(327,96),(95,114),(39,86),(7,11),(332,128),(61,97),(133,114),(56,161),(317,111),(116,78),(182,20),(326,95),(107,66),(28,53),(257,22),(190,26),(165,82),(216,69),(207,38),(181,11),(21,118),(32,10),(229,87),(21,75),(160,46),(181,145),(288,138),(252,138),(130,85),(256,90),(106,74),(43,127),(263,22),(239,125),(157,160),(151,46),(208,2),(317,5),(333,54),(110,145),(124,126),(80,46),(328,40),(281,14),(43,7),(40,17),(209,106),(92,41),(95,50),(24,53),(53,18),(61,140),(10,107),(176,81),(182,119),(22,111),(304,105),(327,34),(10,30),(19,95),(10,29),(101,82),(61,121),(295,122),(104,26),(169,100),(224,121),(294,95),(272,10),(64,45),(37,148),(187,10),(12,131),(216,34),(175,58),(122,72),(314,25),(42,103),(299,149),(116,129),(325,42),(64,158),(170,30),(116,137),(319,22),(98,140),(48,93),(85,64),(42,93),(27,96),(220,50),(4,41),(42,157),(169,80),(142,65),(43,60),(240,161),(277,2),(16,69),(70,77),(247,77),(195,49),(24,51),(124,77),(35,43),(74,65),(163,53),(194,123),(232,101),(176,22),(30,14),(97,70),(97,24),(26,114),
5:(290,27),(308,108),(295,39),(253,140),(322,22),(208,81),(124,33),(34,77),(141,34),(328,70),(74,41),(304,133),(177,153),(306,117),(254,129),(54,78),(158,2),(318,140),(322,112),(18,54),(26,61),(58,21),(289,31),(294,133),(145,67),(64,57),(85,38),(71,45),(95,97),(169,89),(38,94),(82,153),(81,57),(149,81),(85,116),(325,45),(322,39),(272,29),(74,151),(252,46),(288,153),(249,10),(331,101),(99,46),(14,133),(324,152),(308,122),(53,46),(83,6),(298,139),(101,26),(327,94),(86,92),(218,40),(319,86),(150,102),(35,91),(24,110),(182,40),(188,6),(173,109),(218,63),(201,86),(138,62),(268,114),(306,37),(115,126),(299,112),(49,9),(3,54),(318,159),(253,101),(162,69),(36,44),(122,98),(335,82),(24,97),(100,125),(335,20),(215,141),(9,144),(169,53),(105,38),(222,77),(38,89),(295,110),(288,25),(221,78),(275,129),(146,156),(241,49),(103,125),(193,114),(4,122),(254,16),(81,41),(44,136),(108,77),(287,34),(285,34),(183,14),(15,43),(4,135),(323,78),(310,90),(175,54),(304,94),(62,136),(297,42),(323,110),(282,109),(50,108),(122,86),(161,101),(324,123),(74,155),(265,151),(127,30),(241,89),(170,7),(23,118),(303,3),(33,74),(317,155),(241,92),(242,150),(97,103),(22,90),(146,63),(23,94),(205,33),(204,93),(210,121),(313,101),(169,30),(122,148),(140,82),(325,140),(33,89),(329,106),(23,84),(211,129),(34,129),(28,23),(15,135),(236,54),(327,97),(96,114),(40,86),(8,11),(332,127),(61,96),(134,114),(57,161),(317,110),(117,78),(182,21),(326,94),(108,66),(29,53),(256,22),(191,26),(164,82),(215,69),(206,38),(181,12),(21,117),(33,10),(229,88),(21,76),(159,46),(181,144),(288,137),(252,137),(131,85),(257,90),(107,74),(44,127),(262,22),(238,125),(157,159),(150,46),(207,2),(317,6),(332,54),(110,144),(123,126),(81,46),(328,41),(280,14),(43,8),(40,18),(208,106),(93,41),(96,50),(24,52),(54,18),(61,139),(11,107),(177,81),(182,118),(22,110),(303,105),(326,34),(10,31),(19,96),(11,29),(100,82),(62,121),(295,121),(105,26),(169,101),(225,121),(294,94),(271,10),(65,45),(37,147),(186,10),(13,131),(215,34),(176,58),(122,71),(313,25),(43,103),(298,149),(115,129),(324,42),(65,158),(170,31),(115,137),(319,21),(98,139),(48,94),(85,63),(43,93),(27,95),(221,50),(4,42),(43,157),(169,81),(141,65),(43,61),(241,161),(277,3),(16,70),(71,77),(247,78),(196,49),(24,50),(125,77),(35,44),(74,64),(162,53),(194,122),(233,101),(177,22),(31,14),(98,70),(98,24),(25,114),
6:(291,27),(307,108),(294,39),(253,141),(321,22),(209,81),(125,33),(35,77),(140,34),(327,70),(75,41),(304,132),(178,153),(307,117),(254,128),(55,78),(158,3),(317,140),(322,113),(18,55),(26,62),(57,21),(289,32),(293,133),(145,68),(63,57),(85,39),(72,45),(96,97),(168,89),(37,94),(83,153),(82,57),(148,81),(86,116),(325,44),(321,39),(271,29),(74,150),(253,46),(287,153),(248,10),(331,100),(98,46),(14,132),(323,152),(307,122),(54,46),(82,6),(298,138),(102,26),(326,94),(86,91),(218,41),(319,85),(149,102),(35,90),(25,110),(182,41),(187,6),(174,109),(217,63),(202,86),(139,62),(267,114),(306,38),(116,126),(299,111),(49,10),(4,54),(317,159),(253,100),(161,69),(37,44),(123,98),(334,82),(25,97),(99,125),(334,20),(216,141),(9,143),(169,54),(106,38),(221,77),(38,88),(294,110),(287,25),(222,78),(275,130),(146,155),(241,48),(104,125),(192,114),(4,121),(254,17),(80,41),(44,137),(109,77),(286,34),(284,34),(184,14),(15,43),(4,134),(323,77),(310,91),(174,54),(304,93),(62,135),(296,42),(323,109),(281,109),(50,109),(123,86),(162,101),(323,123),(74,154),(265,150),(126,30),(241,90),(170,8),(24,118),(303,4),(34,74),(317,154),(241,93),(242,151),(97,102),(23,90),(146,64),(24,94),(205,34),(205,93),(211,121),(312,101),(170,30),(122,147),(141,82),(325,139),(33,88),(328,106),(24,84),(210,129),(35,129),(28,24),(15,134),(235,54),(327,98),(97,114),(41,86),(9,11),(331,127),(61,95),(135,114),(58,161),(317,109),(118,78),(182,22),(326,93),(109,66),(30,53),(255,22),(192,26),(163,82),(215,70),(206,39),(181,13),(21,116),(33,11),(229,89),(22,76),(158,46),(181,143),(287,137),(251,137),(132,85),(258,90),(108,74),(45,127),(261,22),(237,125),(157,158),(149,46),(206,2),(316,6),(331,54),(110,143),(122,126),(82,46),(328,42),(279,14),(44,8),(39,18),(207,106),(94,41),(97,50),(25,52),(55,18),(61,138),(11,106),(178,81),(182,117),(23,110),(302,105),(325,34),(10,32),(19,97),(12,29),(99,82),(62,120),(294,121),(106,26),(168,101),(226,121),(294,93),(270,10),(66,45),(38,147),(185,10),(13,130),(214,34),(177,58),(122,70),(312,25),(44,103),(298,148),(114,129),(323,42),(65,157),(170,32),(114,137),(318,21),(98,138),(48,95),(85,63),(44,93),(27,94),(222,50),(4,43),(43,156),(169,82),(140,65),(42,61),(241,160),(277,4),(17,70),(72,77),(246,78),(197,49),(23,50),(126,77),(35,45),(74,63),(161,53),(195,122),(234,101),(178,22),(32,14),(98,71),(98,25),(25,115),
