instance=temp_instance.txt
agents=140
map_file=warehouse-20-40-10-2-2.map
solver=PushAndSwap
solved=0
soc=18200
lb_soc=27346
makespan=501
lb_makespan=427
comp_time=208
preprocessing_comp_time=91
starts=(319,101),(242,100),(238,85),(7,82),(120,130),(23,154),(213,101),(280,6),(124,73),(330,81),(298,39),(273,101),(144,85),(282,150),(218,5),(202,54),(103,21),(230,85),(1,41),(32,29),(217,59),(145,145),(220,133),(42,133),(207,29),(182,45),(70,125),(310,76),(301,54),(158,31),(4,141),(291,10),(40,35),(12,56),(257,86),(8,87),(267,142),(283,62),(306,75),(85,159),(250,46),(146,55),(335,104),(28,112),(317,127),(61,4),(7,71),(177,14),(73,140),(146,42),(3,2),(27,133),(253,151),(311,78),(304,22),(84,105),(36,125),(61,162),(206,135),(107,73),(83,53),(263,157),(276,46),(305,162),(77,161),(14,162),(309,1),(50,66),(329,106),(102,129),(277,24),(102,133),(159,89),(128,105),(45,17),(24,26),(39,97),(19,66),(44,79),(142,77),(236,86),(31,30),(335,100),(240,101),(142,66),(170,119),(251,134),(296,1),(157,74),(62,33),(181,67),(60,6),(55,49),(319,125),(32,38),(309,120),(310,156),(30,79),(122,68),(122,152),(291,21),(114,6),(233,126),(50,138),(117,9),(110,113),(116,109),(177,162),(248,33),(296,70),(110,124),(326,7),(191,22),(328,60),(315,9),(332,88),(291,139),(322,64),(63,73),(226,21),(148,105),(330,32),(305,21),(113,62),(322,138),(137,1),(226,34),(27,128),(289,109),(95,34),(169,67),(44,65),(106,105),(215,98),(204,69),(334,11),(202,122),(293,111),(48,158),(27,120),
goals=(266,6),(310,127),(103,10),(295,12),(97,83),(23,155),(83,121),(18,156),(116,66),(309,75),(73,96),(46,26),(87,154),(118,106),(42,140),(145,79),(145,54),(279,53),(86,72),(258,74),(315,62),(174,154),(84,46),(277,141),(131,118),(334,93),(165,42),(151,113),(225,106),(50,18),(201,82),(5,137),(157,103),(259,2),(218,68),(329,13),(2,21),(163,2),(145,8),(332,148),(22,162),(43,99),(215,118),(210,117),(2,79),(4,122),(66,5),(146,155),(139,134),(60,157),(333,40),(154,21),(30,6),(25,38),(276,154),(241,55),(300,13),(94,9),(243,158),(330,135),(43,161),(325,24),(17,85),(312,156),(269,137),(86,47),(54,154),(30,3),(24,159),(155,38),(111,89),(15,101),(281,122),(300,108),(180,106),(111,53),(335,9),(315,91),(155,5),(18,93),(37,33),(326,89),(12,130),(326,108),(283,18),(219,129),(109,53),(83,42),(211,50),(329,71),(222,45),(336,58),(139,65),(9,8),(18,50),(289,64),(25,87),(6,16),(74,148),(265,2),(77,74),(310,55),(266,109),(193,65),(15,72),(162,125),(217,85),(232,66),(329,62),(182,159),(250,125),(16,37),(201,94),(179,110),(78,133),(271,134),(194,44),(242,95),(284,46),(241,94),(282,133),(116,14),(325,147),(193,88),(47,26),(85,53),(310,143),(261,42),(284,29),(316,100),(101,53),(67,22),(6,1),(290,42),(32,27),(82,117),(168,85),(182,29),(47,60),(155,34),
solution=
0:(319,101),(242,100),(238,85),(7,82),(120,130),(23,154),(213,101),(280,6),(124,73),(330,81),(298,39),(273,101),(144,85),(282,150),(218,5),(202,54),(103,21),(230,85),(1,41),(32,29),(217,59),(145,145),(220,133),(42,133),(207,29),(182,45),(70,125),(310,76),(301,54),(158,31),(4,141),(291,10),(40,35),(12,56),(257,86),(8,87),(267,142),(283,62),(306,75),(85,159),(250,46),(146,55),(335,104),(28,112),(317,127),(61,4),(7,71),(177,14),(73,140),(146,42),(3,2),(27,133),(253,151),(311,78),(304,22),(84,105),(36,125),(61,162),(206,135),(107,73),(83,53),(263,157),(276,46),(305,162),(77,161),(14,162),(309,1),(50,66),(329,106),(102,129),(277,24),(102,133),(159,89),(128,105),(45,17),(24,26),(39,97),(19,66),(44,79),(142,77),(236,86),(31,30),(335,100),(240,101),(142,66),(170,119),(251,134),(296,1),(157,74),(62,33),(181,67),(60,6),(55,49),(319,125),(32,38),(309,120),(310,156),(30,79),(122,68),(122,152),(291,21),(114,6),(233,126),(50,138),(117,9),(110,113),(116,109),(177,162),(248,33),(296,70),(110,124),(326,7),(191,22),(328,60),(315,9),(332,88),(291,139),(322,64),(63,73),(226,21),(148,105),(330,32),(305,21),(113,62),(322,138),(137,1),(226,34),(27,128),(289,109),(95,34),(169,67),(44,65),(106,105),(215,98),(204,69),(334,11),(202,122),(293,111),(48,158),(27,120),
1:(318,101),(242,100),(239,85),(8,82),(119,130),(23,155),(212,101),(279,6),(125,73),(330,81),(297,39),(272,101),(143,85),(281,150),(217,5),(202,54),(104,21),(231,85),(1,41),(33,29),(218,59),(145,145),(219,133),(43,133),(207,29),(183,45),(69,125),(309,76),(301,54),(157,31),(5,141),(290,10),(41,35),(13,56),(256,86),(8,87),(266,142),(282,62),(305,75),(86,159),(249,46),(145,55),(334,104),(29,112),(316,127),(61,5),(8,71),(176,14),(73,140),(145,42),(4,2),(28,133),(253,150),(310,78),(303,22),(84,105),(36,125),(62,162),(206,136),(108,73),(82,53),(264,157),(275,46),(306,162),(78,161),(15,162),(308,1),(50,66),(328,106),(103,129),(277,25),(103,133),(160,89),(129,105),(46,17),(25,26),(40,97),(20,66),(45,79),(141,77),(236,86),(32,30),(334,100),(240,101),(143,66),(170,120),(251,133),(295,1),(158,74),(63,33),(182,67),(60,6),(56,49),(318,125),(31,38),(308,120),(309,156),(29,79),(122,68),(122,151),(290,21),(113,6),(233,126),(50,138),(117,9),(111,113),(117,109),(178,162),(249,33),(296,70),(110,124),(325,7),(190,22),(327,60),(314,9),(331,88),(290,139),(321,64),(64,73),(226,21),(149,105),(330,32),(306,21),(114,62),(321,138),(136,1),(227,34),(28,128),(289,108),(96,34),(169,67),(45,65),(107,105),(215,98),(204,69),(334,11),(201,122),(292,111),(47,158),(28,120),
2:(317,101),(242,100),(240,85),(8,82),(118,130),(23,155),(211,101),(278,6),(126,73),(330,81),(296,39),(271,101),(142,85),(280,150),(216,5),(202,54),(105,21),(232,85),(1,41),(34,29),(218,60),(145,145),(218,133),(44,133),(207,29),(184,45),(68,125),(308,76),(301,54),(157,31),(6,141),(289,10),(41,35),(14,56),(255,86),(8,87),(265,142),(281,62),(304,75),(86,158),(248,46),(145,55),(333,104),(29,112),(315,127),(60,5),(8,71),(175,14),(73,140),(144,42),(5,2),(29,133),(252,150),(309,78),(302,22),(84,105),(36,125),(63,162),(206,137),(109,73),(81,53),(265,157),(274,46),(307,162),(79,161),(16,162),(307,1),(50,66),(327,106),(104,129),(276,25),(104,133),(161,89),(130,105),(47,17),(26,26),(41,97),(21,66),(45,79),(140,77),(236,86),(33,30),(333,100),(240,101),(144,66),(170,121),(250,133),(294,1),(159,74),(64,33),(182,66),(60,6),(57,49),(317,125),(31,38),(307,120),(308,156),(28,79),(122,68),(122,151),(289,21),(112,6),(233,126),(50,138),(117,9),(112,113),(118,109),(179,162),(250,33),(296,70),(110,124),(324,7),(189,22),(327,60),(313,9),(331,88),(289,139),(320,64),(65,73),(226,21),(150,105),(330,32),(307,21),(115,62),(320,138),(135,1),(228,34),(29,128),(289,107),(97,34),(169,67),(45,65),(108,105),(215,98),(204,69),(334,11),(200,122),(291,111),(47,157),(29,120),
3:(316,101),(242,100),(241,85),(8,82),(117,130),(23,155),(210,101),(277,6),(127,73),(330,81),(296,39),(270,101),(141,85),(279,150),(215,5),(202,54),(106,21),(233,85),(1,41),(35,29),(218,60),(145,145),(217,133),(45,133),(207,29),(185,45),(67,125),(307,76),(301,54),(157,31),(7,141),(288,10),(41,35),(15,56),(255,86),(8,87),(264,142),(280,62),(303,75),(87,158),(247,46),(145,55),(332,104),(29,112),(314,127),(59,5),(8,71),(174,14),(73,140),(143,42),(6,2),(29,133),(251,150),(308,78),(301,22),(84,105),(36,125),(64,162),(207,137),(110,73),(80,53),(265,157),(273,46),(308,162),(80,161),(17,162),(306,1),(50,66),(326,106),(105,129),(275,25),(105,133),(162,89),(131,105),(48,17),(27,26),(42,97),(21,66),(45,79),(139,77),(236,86),(34,30),(332,100),(240,101),(144,66),(171,121),(249,133),(293,1),(160,74),(65,33),(183,66),(60,6),(58,49),(316,125),(31,38),(306,120),(307,156),(27,79),(122,68),(122,151),(288,21),(111,6),(233,126),(50,138),(117,9),(113,113),(119,109),(180,162),(251,33),(296,70),(110,124),(323,7),(188,22),(327,60),(312,9),(331,88),(289,139),(319,64),(66,73),(226,21),(151,105),(330,32),(308,21),(116,62),(319,138),(134,1),(229,34),(29,128),(289,107),(98,34),(169,67),(45,65),(108,105),(215,98),(204,69),(334,11),(199,122),(290,111),(47,156),(29,120),
4:(315,101),(242,100),(241,84),(8,82),(116,130),(23,155),(209,101),(276,6),(128,73),(330,81),(296,39),(269,101),(140,85),(278,150),(214,5),(202,54),(107,21),(234,85),(1,41),(36,29),(218,60),(145,145),(216,133),(46,133),(207,29),(186,45),(66,125),(306,76),(301,54),(157,31),(8,141),(287,10),(41,35),(16,56),(255,86),(8,87),(263,142),(279,62),(302,75),(88,158),(246,46),(145,55),(331,104),(29,112),(313,127),(58,5),(8,71),(173,14),(73,140),(142,42),(7,2),(29,133),(250,150),(307,78),(301,22),(84,105),(36,125),(65,162),(208,137),(111,73),(79,53),(265,157),(272,46),(309,162),(81,161),(18,162),(305,1),(50,66),(325,106),(106,129),(274,25),(106,133),(163,89),(132,105),(49,17),(28,26),(43,97),(21,66),(45,79),(138,77),(236,86),(35,30),(331,100),(240,101),(144,66),(172,121),(248,133),(292,1),(161,74),(66,33),(184,66),(60,6),(59,49),(315,125),(31,38),(305,120),(306,156),(26,79),(122,68),(122,151),(287,21),(110,6),(233,126),(50,138),(117,9),(114,113),(120,109),(181,162),(252,33),(296,70),(110,124),(322,7),(187,22),(327,60),(311,9),(331,88),(289,139),(318,64),(67,73),(226,21),(152,105),(330,32),(309,21),(117,62),(318,138),(133,1),(230,34),(29,128),(289,107),(99,34),(169,67),(45,65),(108,105),(215,98),(204,69),(334,11),(198,122),(289,111),(47,155),(29,120),
5:(314,101),(242,100),(241,83),(8,82),(115,130),(23,155),(208,101),(275,6),(129,73),(330,81),(296,39),(268,101),(139,85),(277,150),(213,5),(202,54),(108,21),(234,85),(1,41),(37,29),(218,60),(145,145),(215,133),(46,133),(207,29),(187,45),(65,125),(305,76),(301,54),(157,31),(9,141),(286,10),(41,35),(17,56),(255,86),(8,87),(262,142),(279,62),(301,75),(89,158),(245,46),(145,55),(331,104),(29,112),(312,127),(57,5),(8,71),(172,14),(73,140),(141,42),(8,2),(29,133),(249,150),(306,78),(301,22),(84,105),(36,125),(66,162),(209,137),(112,73),(78,53),(265,157),(271,46),(310,162),(82,161),(19,162),(304,1),(50,66),(324,106),(107,129),(273,25),(107,133),(164,89),(133,105),(50,17),(29,26),(44,97),(21,66),(45,79),(137,77),(236,86),(36,30),(330,100),(240,101),(144,66),(173,121),(247,133),(291,1),(162,74),(67,33),(185,66),(60,6),(60,49),(314,125),(31,38),(304,120),(305,156),(25,79),(122,68),(122,151),(286,21),(110,7),(233,126),(50,138),(117,9),(115,113),(120,109),(182,162),(253,33),(296,70),(110,124),(321,7),(186,22),(327,60),(310,9),(331,88),(289,139),(317,64),(68,73),(226,21),(153,105),(330,32),(309,21),(118,62),(317,138),(132,1),(231,34),(29,128),(289,107),(100,34),(169,67),(45,65),(108,105),(215,98),(204,69),(334,11),(197,122),(289,110),(47,154),(29,120),
6:(313,101),(242,100),(241,83),(8,82),(114,130),(23,155),(207,101),(274,6),(130,73),(330,81),(296,39),(267,101),(138,85),(276,150),(212,5),(202,54),(108,21),(234,85),(1,41),(38,29),(218,60),(145,145),(214,133),(46,133),(207,29),(188,45),(64,125),(304,76),(301,54),(157,31),(10,141),(285,10),(41,35),(17,56),(255,86),(8,87),(261,142),(279,62),(301,75),(90,158),(244,46),(145,55),(331,104),(29,112),(311,127),(56,5),(8,71),(171,14),(73,140),(140,42),(9,2),(29,133),(248,150),(305,78),(301,22),(84,105),(36,125),(67,162),(210,137),(113,73),(77,53),(265,157),(270,46),(311,162),(83,161),(20,162),(303,1),(50,66),(323,106),(108,129),(272,25),(108,133),(165,89),(134,105),(51,17),(29,26),(45,97),(21,66),(45,79),(136,77),(236,86),(37,30),(329,100),(240,101),(144,66),(174,121),(246,133),(290,1),(163,74),(68,33),(186,66),(60,6),(60,49),(313,125),(31,38),(303,120),(304,156),(24,79),(122,68),(122,151),(285,21),(110,8),(233,126),(50,138),(117,9),(116,113),(120,109),(183,162),(253,33),(296,70),(110,124),(320,7),(185,22),(327,60),(309,9),(331,88),(289,139),(317,64),(69,73),(226,21),(154,105),(330,32),(309,21),(119,62),(316,138),(131,1),(232,34),(29,128),(289,107),(101,34),(169,67),(45,65),(108,105),(215,98),(204,69),(334,11),(196,122),(288,110),(47,154),(29,120),
