instance=temp_instance.txt
agents=90
map_file=den520d.map
solver=PushAndSwap
solved=0
soc=8767
lb_soc=17097
makespan=501
lb_makespan=379
comp_time=105
preprocessing_comp_time=52
starts=(156,107),(129,231),(62,47),(217,93),(215,63),(99,162),(213,121),(54,179),(216,176),(73,168),(97,37),(59,226),(165,59),(246,20),(228,183),(138,153),(34,74),(132,214),(238,49),(113,217),(213,103),(124,83),(87,185),(95,208),(77,57),(7,156),(59,57),(145,214),(170,101),(87,95),(56,139),(168,94),(46,80),(107,230),(108,38),(229,209),(79,135),(67,26),(82,164),(86,90),(234,43),(58,67),(8,198),(136,39),(198,42),(82,105),(221,129),(113,116),(140,212),(82,83),(137,207),(147,212),(240,127),(103,56),(129,13),(7,197),(80,87),(202,181),(105,165),(83,54),(85,212),(69,70),(216,90),(188,65),(64,68),(114,219),(162,127),(34,167),(149,223),(23,148),(200,191),(167,122),(52,57),(63,82),(151,22),(60,61),(30,143),(232,184),(165,40),(140,162),(196,35),(206,201),(187,80),(231,205),(172,125),(234,119),(200,173),(148,145),(12,73),(40,77),
goals=(83,43),(145,44),(182,32),(154,181),(68,38),(103,39),(65,71),(119,154),(82,45),(182,147),(195,55),(72,47),(217,92),(197,161),(103,161),(181,60),(225,193),(182,169),(54,55),(65,178),(54,168),(90,56),(160,127),(162,22),(252,134),(96,221),(176,105),(145,98),(126,114),(113,52),(55,78),(82,92),(180,65),(126,163),(89,177),(44,72),(235,110),(214,80),(121,94),(182,61),(51,88),(173,72),(145,222),(176,129),(72,89),(167,122),(104,47),(91,49),(219,116),(70,159),(107,213),(242,32),(159,100),(13,193),(225,102),(9,156),(96,84),(154,31),(182,148),(95,189),(29,142),(163,172),(82,33),(241,7),(114,223),(177,20),(74,36),(99,226),(226,206),(64,42),(43,140),(61,67),(245,27),(191,88),(96,229),(144,160),(60,60),(219,56),(176,123),(156,105),(175,150),(90,48),(240,89),(182,46),(155,160),(221,69),(131,216),(151,183),(32,171),(241,127),
solution=
0:(156,107),(129,231),(62,47),(217,93),(215,63),(99,162),(213,121),(54,179),(216,176),(73,168),(97,37),(59,226),(165,59),(246,20),(228,183),(138,153),(34,74),(132,214),(238,49),(113,217),(213,103),(124,83),(87,185),(95,208),(77,57),(7,156),(59,57),(145,214),(170,101),(87,95),(56,139),(168,94),(46,80),(107,230),(108,38),(229,209),(79,135),(67,26),(82,164),(86,90),(234,43),(58,67),(8,198),(136,39),(198,42),(82,105),(221,129),(113,116),(140,212),(82,83),(137,207),(147,212),(240,127),(103,56),(129,13),(7,197),(80,87),(202,181),(105,165),(83,54),(85,212),(69,70),(216,90),(188,65),(64,68),(114,219),(162,127),(34,167),(149,223),(23,148),(200,191),(167,122),(52,57),(63,82),(151,22),(60,61),(30,143),(232,184),(165,40),(140,162),(196,35),(206,201),(187,80),(231,205),(172,125),(234,119),(200,173),(148,145),(12,73),(40,77),
1:(157,107),(129,230),(63,47),(216,93),(215,63),(100,162),(214,121),(55,179),(215,176),(74,168),(97,38),(60,226),(166,59),(245,20),(227,183),(139,153),(35,74),(131,214),(237,49),(112,217),(213,102),(123,83),(88,185),(95,208),(78,57),(8,156),(60,57),(144,214),(169,101),(86,95),(57,139),(167,94),(47,80),(106,230),(109,38),(228,209),(80,135),(68,26),(83,164),(87,90),(233,43),(59,67),(9,198),(137,39),(197,42),(83,105),(220,129),(112,116),(139,212),(83,83),(138,207),(146,212),(239,127),(104,56),(130,13),(8,197),(81,87),(201,181),(106,165),(82,54),(84,212),(70,70),(215,90),(189,65),(65,68),(113,219),(161,127),(35,167),(148,223),(24,148),(200,191),(166,122),(53,57),(63,82),(152,22),(61,61),(31,143),(231,184),(165,40),(141,162),(195,35),(205,201),(188,80),(230,205),(171,125),(233,119),(199,173),(149,145),(13,73),(41,77),
2:(158,107),(128,230),(63,47),(215,93),(215,63),(101,162),(215,121),(55,179),(214,176),(75,168),(98,38),(61,226),(167,59),(244,20),(226,183),(140,153),(36,74),(130,214),(236,49),(111,217),(213,101),(122,83),(89,185),(95,208),(79,57),(9,156),(61,57),(143,214),(168,101),(85,95),(58,139),(166,94),(48,80),(105,230),(110,38),(227,209),(81,135),(68,27),(84,164),(88,90),(233,44),(59,67),(10,198),(138,39),(196,42),(84,105),(219,129),(111,116),(138,212),(84,83),(139,207),(145,212),(238,127),(105,56),(130,14),(9,197),(82,87),(200,181),(107,165),(81,54),(83,212),(70,70),(214,90),(190,65),(66,68),(112,219),(160,127),(36,167),(147,223),(25,148),(200,191),(166,122),(54,57),(63,82),(153,22),(62,61),(32,143),(230,184),(165,40),(142,162),(194,35),(204,201),(189,80),(229,205),(170,125),(232,119),(198,173),(150,145),(14,73),(42,77),
3:(158,107),(128,229),(63,47),(214,93),(215,63),(102,162),(216,121),(55,179),(214,176),(76,168),(99,38),(62,226),(168,59),(243,20),(226,183),(141,153),(37,74),(129,214),(235,49),(110,217),(213,100),(121,83),(90,185),(95,208),(80,57),(10,156),(62,57),(142,214),(167,101),(84,95),(59,139),(166,94),(49,80),(104,230),(111,38),(226,209),(82,135),(68,28),(85,164),(89,90),(233,45),(59,67),(11,198),(139,39),(195,42),(85,105),(218,129),(111,115),(137,212),(85,83),(139,208),(144,212),(237,127),(105,55),(130,15),(10,197),(83,87),(199,181),(108,165),(80,54),(82,212),(70,70),(213,90),(191,65),(67,68),(111,219),(160,127),(37,167),(146,223),(26,148),(200,191),(166,122),(55,57),(63,82),(154,22),(63,61),(33,143),(229,184),(165,40),(143,162),(193,35),(203,201),(190,80),(228,205),(169,125),(231,119),(197,173),(151,145),(15,73),(43,77),
4:(158,107),(127,229),(63,47),(214,93),(215,63),(103,162),(217,121),(55,179),(214,176),(77,168),(100,38),(63,226),(169,59),(242,20),(226,183),(142,153),(38,74),(128,214),(234,49),(109,217),(213,99),(120,83),(91,185),(95,208),(81,57),(11,156),(63,57),(141,214),(166,101),(83,95),(60,139),(166,94),(50,80),(103,230),(112,38),(225,209),(83,135),(69,28),(86,164),(89,91),(233,46),(59,67),(12,198),(140,39),(194,42),(86,105),(217,129),(110,115),(136,212),(86,83),(139,209),(143,212),(236,127),(105,54),(130,16),(10,196),(84,87),(198,181),(109,165),(79,54),(81,212),(70,70),(212,90),(192,65),(68,68),(110,219),(160,127),(38,167),(145,223),(27,148),(200,191),(166,122),(56,57),(63,82),(155,22),(63,61),(34,143),(228,184),(165,40),(144,162),(192,35),(202,201),(191,80),(227,205),(168,125),(230,119),(196,173),(151,146),(16,73),(43,77),
5:(158,107),(126,229),(63,47),(214,93),(215,63),(104,162),(217,120),(55,179),(214,176),(78,168),(101,38),(64,226),(170,59),(241,20),(226,183),(143,153),(39,74),(127,214),(234,49),(108,217),(213,98),(119,83),(92,185),(95,208),(82,57),(12,156),(63,57),(140,214),(166,101),(82,95),(61,139),(166,94),(51,80),(102,230),(113,38),(224,209),(84,135),(69,29),(87,164),(90,91),(233,47),(59,67),(13,198),(141,39),(193,42),(87,105),(217,128),(109,115),(135,212),(87,83),(139,210),(142,212),(235,127),(105,53),(130,17),(10,195),(85,87),(197,181),(110,165),(78,54),(80,212),(70,70),(211,90),(193,65),(69,68),(109,219),(160,127),(39,167),(144,223),(28,148),(200,191),(166,122),(57,57),(63,82),(156,22),(63,61),(35,143),(227,184),(165,40),(145,162),(191,35),(201,201),(192,80),(227,205),(167,125),(229,119),(195,173),(151,147),(17,73),(43,77),
6:(158,107),(125,229),(63,47),(214,93),(215,63),(105,162),(217,119),(55,179),(214,176),(79,168),(102,38),(65,226),(171,59),(240,20),(226,183),(143,153),(40,74),(126,214),(234,49),(107,217),(213,97),(118,83),(93,185),(95,208),(83,57),(12,156),(63,57),(139,214),(166,101),(81,95),(62,139),(166,94),(52,80),(101,230),(114,38),(223,209),(85,135),(69,30),(88,164),(91,91),(233,48),(59,67),(14,198),(142,39),(192,42),(88,105),(217,127),(108,115),(134,212),(88,83),(139,211),(141,212),(234,127),(106,53),(130,18),(10,194),(86,87),(196,181),(111,165),(77,54),(79,212),(70,70),(210,90),(194,65),(70,68),(108,219),(160,127),(40,167),(143,223),(29,148),(200,191),(166,122),(58,57),(63,82),(157,22),(63,61),(36,143),(226,184),(165,40),(146,162),(190,35),(200,201),(193,80),(227,205),(166,125),(228,119),(194,173),(151,148),(18,73),(43,77),
7:(158,107),(124,229),(63,47),(214,93),(215,63),(106,162),(217,118),(55,179),(214,176),(80,168),(103,38),(66,226),(172,59),(239,20),(226,183),(143,153),(41,74),(125,214),(234,49),(106,217),(213,96),(117,83),(94,185),(95,208),(84,57),(12,156),(63,57),(138,214),(166,101),(80,95),(63,139),(166,94),(53,80),(100,230),(115,38),(222,209),(86,135),(70,30),(88,164),(92,91),(233,49),(59,67),(15,198),(143,39),(191,42),(89,105),(217,126),(107,115),(134,212),(89,83),(139,212),(141,213),(233,127),(107,53),(130,19),(10,193),(87,87),(196,181),(112,165),(76,54),(78,212),(70,70),(209,90),(195,65),(70,68),(107,219),(160,127),(41,167),(142,223),(30,148),(200,191),(166,122),(58,56),(63,82),(158,22),(63,61),(37,143),(226,184),(165,40),(147,162),(189,35),(200,201),(194,80),(227,205),(166,125),(227,119),(193,173),(151,149),(19,73),(43,77),
8:(158,107),(123,229),(63,47),(214,93),(215,63),(107,162),(217,117),(55,179),(214,176),(81,168),(104,38),(67,226),(172,59),(238,20),(226,183),(143,153),(42,74),(124,214),(234,49),(105,217),(213,95),(116,83),(94,185),(95,208),(85,57),(12,156),(63,57),(137,214),(166,101),(79,95),(64,139),(166,94),(54,80),(99,230),(116,38),(221,209),(86,136),(70,31),(88,164),(93,91),(233,50),(59,67),(16,198),(144,39),(190,42),(90,105),(217,125),(107,114),(134,212),(90,83),(138,212),(140,213),(232,127),(108,53),(130,20),(10,192),(87,86),(196,181),(113,165),(75,54),(77,212),(70,70),(208,90),(196,65),(70,68),(106,219),(160,127),(42,167),(141,223),(31,148),(200,191),(166,122),(59,56),(63,82),(159,22),(63,61),(38,143),(226,184),(165,40),(148,162),(188,35),(200,201),(195,80),(227,205),(166,125),(226,119),(192,173),(151,150),(20,73),(43,77),
9:(158,107),(123,228),(63,47),(214,93),(215,63),(108,162),(217,116),(55,179),(214,176),(82,168),(105,38),(68,226),(172,59),(237,20),(226,183),(143,153),(43,74),(123,214),(234,49),(104,217),(213,94),(115,83),(94,185),(95,208),(86,57),(12,156),(63,57),(136,214),(166,101),(78,95),(65,139),(166,94),(54,80),(98,230),(117,38),(220,209),(87,136),(71,31),(88,164),(94,91),(233,51),(59,67),(17,198),(145,39),(189,42),(91,105),(217,124),(106,114),(134,212),(91,83),(137,212),(139,213),(231,127),(109,53),(130,21),(10,191),(87,85),(196,181),(114,165),(74,54),(76,212),(70,70),(207,90),(197,65),(70,68),(105,219),(160,127),(42,167),(140,223),(32,148),(200,191),(166,122),(60,56),(63,82),(160,22),(63,61),(39,143),(226,184),(165,40),(149,162),(187,35),(200,201),(196,80),(227,205),(166,125),(225,119),(191,173),(151,151),(21,73),(43,77),
10:(158,107),(122,228),(63,47),(214,93),(215,63),(109,162),(217,115),(55,179),(214,176),(83,168),(106,38),(69,226),(172,59),(236,20),(226,183),(143,153),(43,74),(122,214),(234,49),(103,217),(213,93),(114,83),(94,185),(95,208),(87,57),(12,156),(63,57),(135,214),(166,101),(77,95),(66,139),(166,94),(54,80),(97,230),(118,38),(219,209),(88,136),(71,32),(88,164),(95,91),(233,52),(59,67),(18,198),(146,39),(188,42),(92,105),(217,123),(105,114),(134,212),(92,83),(136,212),(138,213),(230,127),(110,53),(130,22),(10,190),(88,85),(196,181),(115,165),(73,54),(75,212),(70,70),(206,90),(198,65),(70,68),(104,219),(160,127),(42,167),(139,223),(33,148),(200,191),(166,122),(61,56),(63,82),(161,22),(63,61),(40,143),(226,184),(165,40),(150,162),(186,35),(200,201),(197,80),(227,205),(166,125),(224,119),(190,173),(151,151),(22,73),(43,77),
11:(158,107),(121,228),(63,47),(214,93),(215,63),(110,162),(217,114),(55,179),(214,176),(84,168),(107,38),(70,226),(172,59),(235,20),(226,183),(143,153),(43,74),(121,214),(234,49),(102,217),(213,92),(113,83),(94,185),(95,208),(88,57),(12,156),(63,57),(135,214),(166,101),(76,95),(67,139),(166,94),(54,80),(97,229),(119,38),(218,209),(89,136),(72,32),(88,164),(96,91),(233,53),(59,67),(18,197),(147,39),(187,42),(93,105),(217,122),(104,114),(134,212),(92,83),(135,212),(137,213),(229,127),(111,53),(130,23),(10,189),(89,85),(196,181),(116,165),(73,54),(74,212),(70,70),(205,90),(199,65),(70,68),(103,219),(160,127),(42,167),(138,223),(34,148),(200,191),(166,122),(62,56),(63,82),(162,22),(63,61),(41,143),(226,184),(165,40),(151,162),(185,35),(200,201),(198,80),(227,205),(166,125),(223,119),(189,173),(151,151),(23,73),(43,77),
