instance=/home/shield/code/pibt_star/pibt2/instances/mapf/corridoor.txt
agents=4
map_file=custom_corridoor.map
solver=PIBT
solved=1
soc=35
lb_soc=25
makespan=20
lb_makespan=10
comp_time=0
preprocessing_comp_time=0
starts=(4,2),(5,2),(6,2),(7,2),
goals=(14,2),(0,2),(1,2),(2,2),
solution=
0:(4,2),(5,2),(6,2),(7,2),
1:(3,2),(4,2),(5,2),(6,2),
2:(2,2),(3,2),(4,2),(5,2),
3:(1,2),(2,2),(3,2),(4,2),
4:(0,2),(1,2),(2,2),(3,2),
5:(0,1),(0,2),(1,2),(2,2),
6:(1,1),(0,2),(1,2),(2,2),
7:(2,1),(0,2),(1,2),(2,2),
8:(3,1),(0,2),(1,2),(2,2),
9:(3,2),(0,2),(1,2),(2,2),
10:(4,2),(0,2),(1,2),(2,2),
11:(5,2),(0,2),(1,2),(2,2),
12:(6,2),(0,2),(1,2),(2,2),
13:(7,2),(0,2),(1,2),(2,2),
14:(8,2),(0,2),(1,2),(2,2),
15:(9,2),(0,2),(1,2),(2,2),
16:(10,2),(0,2),(1,2),(2,2),
17:(11,2),(0,2),(1,2),(2,2),
18:(12,2),(0,2),(1,2),(2,2),
19:(13,2),(0,2),(1,2),(2,2),
20:(14,2),(0,2),(1,2),(2,2),
