Solver,Num_agents,Seed,Solved,Cumulative_Cost,SOC
PIBT,20,0,True,7,3192
PIBT,20,1,True,1,3947
PIBT,20,2,True,20,4395
PIBT,20,3,True,5,3767
PIBT,20,4,True,3,3963
PIBT,20,5,True,23,4613
PIBT,20,6,True,8,4529
PIBT,20,7,True,0,3423
PIBT,20,8,True,4,2963
PIBT,20,9,True,2,2937
PIBT,30,0,True,5,4168
PIBT,30,1,True,1,5751
PIBT,30,2,True,21,6141
PIBT,30,3,True,1,5603
PIBT,30,4,True,5,6263
PIBT,30,5,True,33,6365
PIBT,30,6,True,16,6017
PIBT,30,7,True,5,5588
PIBT,30,8,True,10,4792
PIBT,30,9,True,9,5325
PIBT,40,0,True,7,5697
PIBT,40,1,True,5,6746
PIBT,40,2,True,19,7693
PIBT,40,3,True,8,7704
PIBT,40,4,True,8,7831
PIBT,40,5,True,19,8266
PIBT,40,6,True,55,7608
PIBT,40,7,True,17,7507
PIBT,40,8,True,21,6713
PIBT,40,9,True,18,7429
PIBT,50,0,True,18,7517
PIBT,50,1,True,15,8051
PIBT,50,2,True,23,9753
PIBT,50,3,True,10,9612
PIBT,50,4,True,21,10051
PIBT,50,5,True,45,10374
PIBT,50,6,True,63,9506
PIBT,50,7,True,22,9104
PIBT,50,8,True,21,8757
PIBT,50,9,True,31,9345
PIBT,60,0,True,18,9400
PIBT,60,1,True,42,10211
PIBT,60,2,True,39,11590
PIBT,60,3,True,21,11628
PIBT,60,4,True,29,12214
PIBT,60,5,True,48,12030
PIBT,60,6,True,80,11846
PIBT,60,7,True,33,11404
PIBT,60,8,True,18,10173
PIBT,60,9,True,56,11574
PIBT,70,0,True,28,11358
PIBT,70,1,True,28,11613
PIBT,70,2,True,48,13423
PIBT,70,3,True,35,13859
PIBT,70,4,True,64,14466
PIBT,70,5,True,72,14028
PIBT,70,6,True,93,13358
PIBT,70,7,True,55,12889
PIBT,70,8,True,51,12129
PIBT,70,9,True,53,13733
PIBT,80,0,True,35,13408
PIBT,80,1,True,42,13735
PIBT,80,2,True,102,14366
PIBT,80,3,True,80,16320
PIBT,80,4,True,78,16356
PIBT,80,5,True,79,16067
PIBT,80,6,True,109,15443
PIBT,80,7,True,51,14992
PIBT,80,8,True,81,13617
PIBT,80,9,True,88,15703
PIBT,90,0,True,43,15217
PIBT,90,1,True,49,15456
PIBT,90,2,True,99,16264
PIBT,90,3,True,62,17958
PIBT,90,4,True,89,17882
PIBT,90,5,True,78,17817
PIBT,90,6,True,118,16884
PIBT,90,7,True,96,16996
PIBT,90,8,True,70,15273
PIBT,90,9,True,86,17155
PIBT,100,0,True,57,17108
PIBT,100,1,True,97,17703
PIBT,100,2,True,101,17961
PIBT,100,3,True,84,19607
PIBT,100,4,True,101,19731
PIBT,100,5,True,102,19686
PIBT,100,6,True,131,18669
PIBT,100,7,True,90,18669
PIBT,100,8,True,71,17153
PIBT,100,9,True,124,19219
PIBT,110,0,True,72,19516
PIBT,110,1,True,80,19014
PIBT,110,2,True,130,19459
PIBT,110,3,True,90,21841
PIBT,110,4,True,114,21557
PIBT,110,5,True,139,21427
PIBT,110,6,True,179,21057
PIBT,110,7,True,82,20997
PIBT,110,8,True,112,18896
PIBT,110,9,True,154,20713
PIBT,120,0,True,102,21619
PIBT,120,1,True,116,21327
PIBT,120,2,True,153,21567
PIBT,120,3,True,113,23441
PIBT,120,4,True,131,23393
PIBT,120,5,True,158,22896
PIBT,120,6,True,158,23035
PIBT,120,7,True,118,22445
PIBT,120,8,True,119,20788
PIBT,120,9,True,112,22647
PIBT,130,0,True,103,23250
PIBT,130,1,True,113,23241
PIBT,130,2,True,174,23511
PIBT,130,3,True,121,25940
PIBT,130,4,True,170,25349
PIBT,130,5,True,207,25528
PIBT,130,6,True,183,24522
PIBT,130,7,True,135,24528
PIBT,130,8,True,139,22501
PIBT,130,9,True,166,24364
PIBT,140,0,True,126,25373
PIBT,140,1,True,133,24224
PIBT,140,2,True,185,25463
PIBT,140,3,True,129,27635
PIBT,140,4,True,232,27307
PIBT,140,5,True,217,26877
PIBT,140,6,True,232,26676
PIBT,140,7,True,168,26945
PIBT,140,8,True,166,24413
PIBT,140,9,True,155,26339
PIBT,150,0,True,136,27555
PIBT,150,1,True,141,26189
PIBT,150,2,True,216,27865
PIBT,150,3,True,145,29356
PIBT,150,4,True,243,29139
PIBT,150,5,True,216,29081
PIBT,150,6,True,238,28656
PIBT,150,7,True,191,29002
PIBT,150,8,True,188,26502
PIBT,150,9,True,179,28005
PIBT,160,0,True,193,29053
PIBT,160,1,True,157,27654
PIBT,160,2,True,224,29436
PIBT,160,3,True,228,31868
PIBT,160,4,True,280,31167
PIBT,160,5,True,220,30517
PIBT,160,6,True,337,31124
PIBT,160,7,True,241,30903
PIBT,160,8,True,242,28545
PIBT,160,9,True,202,29660
PIBT,170,0,True,204,31385
PIBT,170,1,True,159,29890
PIBT,170,2,True,274,32191
PIBT,170,3,True,184,33684
PIBT,170,4,True,282,33150
PIBT,170,5,True,294,32637
PIBT,170,6,True,411,33358
PIBT,170,7,True,232,32910
PIBT,170,8,True,219,30687
PIBT,170,9,True,201,30938
PIBT,180,0,True,218,33392
PIBT,180,1,True,211,31566
PIBT,180,2,True,309,33926
PIBT,180,3,True,295,35945
PIBT,180,4,True,349,35241
PIBT,180,5,True,306,34571
PIBT,180,6,True,370,35869
PIBT,180,7,True,292,34956
PIBT,180,8,True,312,32950
PIBT,180,9,True,221,33142
PIBT,190,0,True,226,35239
PIBT,190,1,True,231,33336
PIBT,190,2,True,317,35265
PIBT,190,3,True,263,38723
PIBT,190,4,True,329,36853
PIBT,190,5,True,356,36472
PIBT,190,6,True,395,38368
PIBT,190,7,True,269,36743
PIBT,190,8,True,344,34637
PIBT,190,9,True,250,35194
PIBT,200,0,True,299,37284
PIBT,200,1,True,288,35052
PIBT,200,2,True,345,36699
PIBT,200,3,True,270,40220
PIBT,200,4,True,391,38616
PIBT,200,5,True,375,38144
PIBT,200,6,True,500,40333
PIBT,200,7,True,312,38315
PIBT,200,8,True,341,36120
PIBT,200,9,True,313,37620
PIBTOLD,20,0,True,5,3190
PIBTOLD,20,1,True,1,3953
PIBTOLD,20,2,True,19,4394
PIBTOLD,20,3,True,9,3771
PIBTOLD,20,4,True,1,3961
PIBTOLD,20,5,True,17,4607
PIBTOLD,20,6,True,5,4336
PIBTOLD,20,7,True,0,3423
PIBTOLD,20,8,True,9,2953
PIBTOLD,20,9,True,2,2937
PIBTOLD,30,0,True,3,4166
